model,scenario,version,reported_r10_variable_pairs,missing_r10_region_variables
GCAM 5.3,NGFS Phase 2-Below 2°C,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
GCAM 5.3,NGFS Phase 2-Delayed Transition,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
GCAM 6.0 NGFS,NGFS Phase 5-Below 2°C,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
GCAM 6.0 NGFS,NGFS Phase 5-Delayed Transition,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
GCAM 6.0 NGFS,NGFS Phase 5-Low Demand,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
GCAM 6.0 NGFS,NGFS Phase 5-Net-Zero 2050,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
IMAGE 3.0,COMMIT-2°C-2030,1,95,Africa (R10)::Emissions|CO2; Africa (R10)::Investment|Energy Supply; Africa (R10)::Capacity|Electricity|Wind; Africa (R10)::Capacity|Electricity|Solar|PV; Africa (R10)::Final Energy; Africa (R10)::Final Energy|Electricity; Africa (R10)::Population; Africa (R10)::Primary Energy|Coal; Africa (R10)::Primary Energy|Oil; Africa (R10)::Primary Energy|Gas; Africa (R10)::Primary Energy|Nuclear; Africa (R10)::Primary Energy|Biomass; Africa (R10)::Primary Energy|Non-Biomass Renewables; Africa (R10)::Carbon Capture|Geological Storage|Biomass; Africa (R10)::GDP|MER; Africa (R10)::Land Cover; Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Price|Secondary Energy|Electricity; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Primary Energy|Fossil|w/ CCS; Africa (R10)::Primary Energy|Fossil|w/o CCS; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Emissions|CO2; India+ (R10)::Investment|Energy Supply; India+ (R10)::Capacity|Electricity|Wind; India+ (R10)::Capacity|Electricity|Solar|PV; India+ (R10)::Final Energy; India+ (R10)::Final Energy|Electricity; India+ (R10)::Population; India+ (R10)::Primary Energy|Coal; India+ (R10)::Primary Energy|Oil; India+ (R10)::Primary Energy|Gas; India+ (R10)::Primary Energy|Nuclear; India+ (R10)::Primary Energy|Biomass; India+ (R10)::Primary Energy|Non-Biomass Renewables; India+ (R10)::Carbon Capture|Geological Storage|Biomass; India+ (R10)::GDP|MER; India+ (R10)::Land Cover; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Price|Secondary Energy|Electricity; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Primary Energy|Fossil|w/ CCS; India+ (R10)::Primary Energy|Fossil|w/o CCS; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Emissions|CO2; Middle East (R10)::Investment|Energy Supply; Middle East (R10)::Capacity|Electricity|Wind; Middle East (R10)::Capacity|Electricity|Solar|PV; Middle East (R10)::Final Energy; Middle East (R10)::Final Energy|Electricity; Middle East (R10)::Population; Middle East (R10)::Primary Energy|Coal; Middle East (R10)::Primary Energy|Oil; Middle East (R10)::Primary Energy|Gas; Middle East (R10)::Primary Energy|Nuclear; Middle East (R10)::Primary Energy|Biomass; Middle East (R10)::Primary Energy|Non-Biomass Renewables; Middle East (R10)::Carbon Capture|Geological Storage|Biomass; Middle East (R10)::GDP|MER; Middle East (R10)::Land Cover; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Price|Secondary Energy|Electricity; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Primary Energy|Fossil|w/ CCS; Middle East (R10)::Primary Energy|Fossil|w/o CCS; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Emissions|CO2; Pacific OECD (R10)::Investment|Energy Supply; Pacific OECD (R10)::Capacity|Electricity|Wind; Pacific OECD (R10)::Capacity|Electricity|Solar|PV; Pacific OECD (R10)::Final Energy; Pacific OECD (R10)::Final Energy|Electricity; Pacific OECD (R10)::Population; Pacific OECD (R10)::Primary Energy|Coal; Pacific OECD (R10)::Primary Energy|Oil; Pacific OECD (R10)::Primary Energy|Gas; Pacific OECD (R10)::Primary Energy|Nuclear; Pacific OECD (R10)::Primary Energy|Biomass; Pacific OECD (R10)::Primary Energy|Non-Biomass Renewables; Pacific OECD (R10)::Carbon Capture|Geological Storage|Biomass; Pacific OECD (R10)::GDP|MER; Pacific OECD (R10)::Land Cover; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Price|Secondary Energy|Electricity; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Primary Energy|Fossil|w/ CCS; Pacific OECD (R10)::Primary Energy|Fossil|w/o CCS; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Emissions|CO2; Rest of Asia (R10)::Investment|Energy Supply; Rest of Asia (R10)::Capacity|Electricity|Wind; Rest of Asia (R10)::Capacity|Electricity|Solar|PV; Rest of Asia (R10)::Final Energy; Rest of Asia (R10)::Final Energy|Electricity; Rest of Asia (R10)::Population; Rest of Asia (R10)::Primary Energy|Coal; Rest of Asia (R10)::Primary Energy|Oil; Rest of Asia (R10)::Primary Energy|Gas; Rest of Asia (R10)::Primary Energy|Nuclear; Rest of Asia (R10)::Primary Energy|Biomass; Rest of Asia (R10)::Primary Energy|Non-Biomass Renewables; Rest of Asia (R10)::Carbon Capture|Geological Storage|Biomass; Rest of Asia (R10)::GDP|MER; Rest of Asia (R10)::Land Cover; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Price|Secondary Energy|Electricity; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Primary Energy|Fossil|w/ CCS; Rest of Asia (R10)::Primary Energy|Fossil|w/o CCS; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,180,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Price|Secondary Energy|Electricity; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Price|Secondary Energy|Electricity; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Price|Secondary Energy|Electricity; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Price|Secondary Energy|Electricity; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Price|Secondary Energy|Electricity; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Price|Secondary Energy|Electricity; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Price|Secondary Energy|Electricity; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Price|Secondary Energy|Electricity; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Price|Secondary Energy|Electricity; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Price|Secondary Energy|Electricity; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1,180,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Price|Secondary Energy|Electricity; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Price|Secondary Energy|Electricity; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Price|Secondary Energy|Electricity; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Price|Secondary Energy|Electricity; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Price|Secondary Energy|Electricity; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Price|Secondary Energy|Electricity; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Price|Secondary Energy|Electricity; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Price|Secondary Energy|Electricity; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Price|Secondary Energy|Electricity; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Price|Secondary Energy|Electricity; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
IMAGE 3.0,ENGAGE-INDCi2030-1200,1,180,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Price|Secondary Energy|Electricity; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Price|Secondary Energy|Electricity; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Price|Secondary Energy|Electricity; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Price|Secondary Energy|Electricity; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Price|Secondary Energy|Electricity; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Price|Secondary Energy|Electricity; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Price|Secondary Energy|Electricity; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Price|Secondary Energy|Electricity; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Price|Secondary Energy|Electricity; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Price|Secondary Energy|Electricity; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
