model,scenario,version,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1,GW3-IIb,GW3b,GW3,ok
IMAGE 3.0,ENGAGE-INDCi2030-1200,1,GW4-IIb,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1,GW4-IIb,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1,GW4-IIb,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-800f,1,GW3-IIb,GW3b,GW3,ok
IMAGE 3.0,ENGAGE-NPi2020-1000,1,GW3-IIb,GW3b,GW3,ok
IMAGE 3.0,ENGAGE-NPi2020-1200,1,GW4-IIb,GW4,GW4,ok
IMAGE 3.0,ENGAGE-NPi2020-1400,1,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-NPi2020-1400f,1,GW4-IIc,GW4,GW4,ok
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,1,GW2-I,GW2a,GW2,ok
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,1,GW2-I,GW2a,GW2,ok
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,1,GW2-I,GW2a,GW2,ok
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,1,GW3-IIa,GW3b,GW3,ok
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,1,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,1,GW3-IIb,GW3b,GW3,ok
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,1,GW3-IIa,GW3b,GW3,ok
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,1,GW3-IIa,GW3b,GW3,ok
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,1,GW2-I,GW2a,GW2,ok
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,1,GW3-IIa,GW3b,GW3,ok
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,1,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1,GW3-IIb,GW3b,GW3,ok
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1,GW3-IIa,GW3b,GW3,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,1,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1,GW3-IIc,GW3b,GW3,ok
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1,GW3-IIc,GW3b,GW3,ok
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1,GW3-IIc,GW3b,GW3,ok
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,1,GW3-IIb,GW3b,GW3,ok
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,1,GW3-IIb,GW3b,GW3,ok
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1,GW2-II,GW2a,GW2,ok
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),1,GW4-IIc,GW4,GW4,ok
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,1,GW2-I,GW2a,GW2,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1,GW4-IIc,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1,GW4-IIa,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,1,GW4-IIa,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1,GW3-I,GW3a,GW3,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,1,GW3-I,GW3a,GW3,ok
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,1,GW3-IIa,GW3b,GW3,ok
