,Nd,Dy,Ni,Mn,Ag,Cd,Te,Se,In
2016,17606,300,2090000,15700000,25700,25744,408,3618,798
2017,20309.86,352.8,3414000,25621000,37080,29270.2,434.08,3754.18,799.98
2018,28778.1586,1078.628,5772400,41500130,53112,36753.485,557.4208,3780.7218,813.9798
2019,43622.60159,2617.68628,8961440,62137068.9,70604.8,43635.25988,774.734208,3886.167218,878.099798
2020,60152.30602,4099.676863,12548864,84595646.52,85681.92,48131.77048,1005.987342,3989.401672,906.720998
2021,82367.66306,5777.496769,16595318.4,109219692.7,101292.768,52379.85983,1274.379873,4208.614017,1048.98721
2022,107459.8766,7597.274968,21457191.04,134691437.1,117717.1072,54484.47547,1547.143799,4728.98614,1160.389872
2023,139630.8588,9768.47275,27138314.62,160812461.7,134866.8429,56613.98321,1875.951438,5552.369861,1361.483899
2024,171872.6286,11943.18473,33420988.77,185977604.7,151606.7372,58547.84706,2456.319514,5648.783699,1663.474839
2025,204115.1063,14117.93185,40254593.26,211936130.5,168882.6949,60647.47324,3058.203195,5867.927837,1976.474748
2026,242019.8095,16854.14148,43594708.68,225279541,180006.8868,63155.24924,3762.598084,6233.604758,2350.741487
2027,286490.8532,20307.35266,47227098.19,239357369.6,191675.3057,66409.60124,4584.104442,6746.870585,2790.465169
2028,337528.2376,24477.56537,51151761.77,254169616.3,203887.9517,70410.52924,5522.722269,7407.725318,3295.645796
2029,395131.9625,29364.77963,55368699.43,269716280.9,216644.8246,75158.03324,6578.451566,8216.168958,3866.283368
2030,459302.028,34968.99544,59877911.18,285997363.6,229945.9245,80652.11324,7751.292331,9172.201503,4502.377883
2031,530038.4341,41290.21278,64679397.01,303012864.4,243791.2514,86892.76924,9041.244567,10275.82296,5203.929343
2032,607341.1808,48328.43167,69773156.92,320762783.1,258180.8053,93880.00124,10448.30827,11527.03331,5970.937747
2033,691210.268,56083.65211,75159190.91,339247119.9,273114.5862,101613.8092,11972.48345,12925.83258,6803.403095
2034,781645.6958,64555.87408,80837498.99,358465874.8,288592.5941,110094.1932,13613.77009,14472.22075,7701.325388
2035,878647.4642,73745.0976,86808081.14,378419047.6,304614.829,119321.1532,15372.1682,16166.19783,8664.704625
2036,982215.5732,83651.32266,93070937.38,399106638.5,321181.2909,129294.6892,17247.67778,18007.76381,9693.540806
2037,1092350.023,94274.54926,99626067.7,420528647.5,338291.9798,140014.8012,19240.29883,19996.9187,10787.83393
2038,1209050.813,105614.7774,106473472.1,442685074.5,355946.8957,151481.4892,21350.03135,22133.6625,11947.584
2039,1332317.944,117672.0071,113613150.6,465575919.5,374146.0386,163694.7532,23576.87534,24417.9952,13172.79102
2040,1462151.415,130446.2383,121045103.1,489201182.5,392889.4085,176654.5932,25920.8308,26849.91681,14463.45497
2041,1598551.227,143937.4711,128769329.8,513560863.6,412177.0054,190361.0092,28381.89773,29429.42732,15819.57588
2042,1638050.488,150446.8761,127938959.3,489808193.2,388855.2497,191313.0216,29353.11114,30952.53734,16474.45313
2043,1675866.135,156929.3062,127220369.9,467084296.5,366466.1922,192978.6313,30262.33999,32503.85359,17089.31001
2044,1713572.827,163456.8287,126657482.5,445688957.8,345378.6087,195385.3302,31139.68772,34084.14504,17679.58808
2045,1753446.506,170178.0869,126304739.7,425954569.8,325993.9286,198625.5624,32027.76525,35709.94316,18267.7197
2046,1798464.398,177318.2998,126227106,408246133,308746.2352,202856.7243,32981.69105,37413.54192,18883.12806
2047,1852305.018,185179.2621,126500067.8,392961256.4,294102.2652,208301.164,34069.09104,39242.99778,19562.2271
2048,1919348.164,194139.3445,127209633.3,380530157,282561.409,215246.1822,35370.09869,41262.1297,20348.4216
2049,2004674.917,204653.4931,128452332.7,371415660,274655.7105,224044.0312,36977.35495,39299.69657,21292.10714
2050,2114067.648,217253.23,130335218,366113198.6,270949.8675,235111.9159,38996.00828,37683.07679,22450.67007
