Model,Scenario,Category,Category_name,Category_subset,Vetting,Category_Vetting_historical,Project_study,Ssp_family,version
IMAGE 3.0,ENGAGE-INDCi2030-1000,GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-INDCi2030-1000f,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-INDCi2030-1200,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-INDCi2030-1200f,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-INDCi2030-1400f,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-INDCi2030-800f,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-NPi2020-1000,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-NPi2020-1200,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-NPi2020-1400,GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
IMAGE 3.0,ENGAGE-NPi2020-1400f,GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,GW2,GW2a,GW2-I,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,GW2,GW2a,GW2-I,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,GW2,GW2a,GW2-I,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,GW2,GW2b,GW2-IIIb,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,GW2,GW2a,GW2-I,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,GW2,GW2b,GW2-IIIb,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,GW2,GW2b,GW2-IIIb,ok,ok,SCI 2025,2,1
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,GW2,GW2b,GW2-IIIb,ok,ok,SCI 2025,2,1
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,GW3,GW3b,GW3-IIc,ok,ok,SCI 2025,2,1
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,GW3,GW3b,GW3-IIc,ok,ok,SCI 2025,2,1
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,GW3,GW3b,GW3-IIc,ok,ok,SCI 2025,2,1
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,GW2,GW2a,GW2-II,ok,ok,SCI 2025,2,1
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,GW2,GW2a,GW2-I,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,GW3,GW3a,GW3-I,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,GW3,GW3a,GW3-I,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
