model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2090,3448.221,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2080,3266.406,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2070,4838.5,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2060,5251.525000000001,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2050,3537.429,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2045,2878.145,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2100,4408.287,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2035,1734.135,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2030,1379.292,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2025,937.367375,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2020,646.141625,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Solar|PV,GW,2040,1895.707,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2100,2958.7076875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2090,2193.49,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2080,2450.07959375,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2070,3429.987796875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2060,3178.428296875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2050,1836.417,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2045,1400.3202734375,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2040,1143.49662890625,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2035,1186.482609375,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Capacity|Electricity|Wind,GW,2030,1041.98773046875,GW4-IIc,GW4,GW4,ok
