model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2090,3942.953693359375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2080,3068.44404296875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2070,2135.587724609375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2060,1251.63602734375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2050,587.1185458984374,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2045,344.1409282226563,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2100,5103.013113281249,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2035,96.78110571289062,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2030,46.13060186767578,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2025,17.87581060791015,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2020,9.898376495361328,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Solar|PV,GW,2040,199.6705083007813,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2100,1170.526169921875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2090,885.2913168945312,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2080,716.0140009765626,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2070,555.6346220703126,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2060,376.4352486572266,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2050,297.3623115234375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2045,269.9937487792969,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2040,204.2672327880859,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2030,106.4373968505859,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2025,18.25217315006256,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2020,6.514653079509735,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Capacity|Electricity|Wind,GW,2035,166.4869171142578,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2050,667.6434838116359,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2100,936.4550804148732,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2090,872.1687751866391,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2080,786.5678918262258,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2070,743.2771312034456,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2060,625.2102085685761,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2045,678.7795543003425,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2040,400.129228834189,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2035,82.85841296251586,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2030,21.52718894761155,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2025,3.065683213307093,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2020,0.0,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2100,2178.815335990098,GW2-IIIb,GW2b,GW2,ok
