model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2050,12282.578,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2090,22121.502,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2100,23796.584,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2080,20610.081,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2070,16755.381,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2060,14580.816,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2045,10289.223,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2035,5707.961,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2030,2881.404,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2025,1298.39153125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2020,725.36959375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Solar|PV,GW,2040,7574.855,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2100,5950.989125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2090,5662.7526875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2080,5241.775875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2070,5009.396125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2060,5586.978,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2045,5246.4913125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2050,5911.642,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2035,2830.6881875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2040,3915.9323125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Capacity|Electricity|Wind,GW,2025,1069.60640625,GW2-IIIb,GW2b,GW2,ok
