Model,Scenario,Category,Category_name,Category_subset,Subset_Ch4,Category_Vetting_historical,IMP_marker,Literature Reference (if applicable),Policy_category,Policy_category_name,Project_study,CO2 emissions 2030 Gt CO2/yr,CO2 emissions 2050 Gt CO2/yr,CO2 emissions 2100 Gt CO2/yr,COVID,GDP|MER-per-capita-in-2100,GDP|MER-per-capita-in-2100_bin,GHG emissions 2030 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2050 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2100 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions reductions 2019-2030 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2040 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2050 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2050 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2020 % modelled Native,CO2 emissions reductions 2019-2030 % modelled Native,CO2 emissions reductions 2019-2040 % modelled Native,CO2 emissions reductions 2019-2050 % modelled Native,CO2 emissions reductions 2019-2100 % modelled Native,CH4 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2050 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2030 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2040 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2050 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2030 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2040 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2050 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2020 % modelled Native-with-Infilled,GHG emissions reductions 2019-2030 % modelled Native-with-Infilled,GHG emissions reductions 2019-2040 % modelled Native-with-Infilled,GHG emissions reductions 2019-2050 % modelled Native-with-Infilled,GHG emissions reductions 2019-2100 % modelled Native-with-Infilled,Year of 50% CO2 emissions reductions 2019 modelled vs Harmonized-Infilled,Peak Emissions|CO2,Peak Emissions|GHGs,Population-in-2100,Population-in-2100_bin,Time horizon,Vetting_future,Vetting_historical,Climate impacts,Regional_scope,Scenario_scope,Sectoral_scope,Ssp_family,Technology_category_name,Year of peak CO2 Emissions (Harm-Infilled),Year of peak GHG Emissions,Year of netzero CO2 emissions (Harm-Infilled) Table SPM2,Year of netzero GHG emissions (Harm-Infilled) Table SPM2,"Cumulative net-negative CO2 (post net-zero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020 to netzero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020-2100, Gt CO2) (Harm-Infilled)",Median peak warming (MAGICCv7.5.3),P33 peak warming (MAGICCv7.5.3),P67 peak warming (MAGICCv7.5.3),Median warming in 2100 (MAGICCv7.5.3),Median year of peak warming (MAGICCv7.5.3),Median warming at year of netzero Emissions|CO2 (MAGICCv7.5.3),P67 warming at year of netzero (MAGICCv7.5.3) (Harm-Infilled),Exceedance Probability 1.5C (MAGICCv7.5.3),Exceedance Probability 2.0C (MAGICCv7.5.3),Exceedance Probability 3.0C (MAGICCv7.5.3),Category_FaIRv1.6.2,Category_name_FaIRv1.6.2,Median peak warming (FaIRv1.6.2),P33 peak warming (FaIRv1.6.2),P67 peak warming (FaIRv1.6.2),Median warming in 2100 (FaIRv1.6.2),Median year of peak warming (FaIRv1.6.2),Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 3.0C (FaIRv1.6.2),IMP_color_rgb,IMP_color_hex,Category_color_rgb,Category_color_hex
AIM/CGE 2.0,SSP1-26,C3,C3: limit warming to 2°C (>67%),C3y_+veGHGs,Limit to 2C (>67%) immediate 2020 action,C3,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,29.7905086,13.6789516,0.0177377,FALSE,,,39.07026503,19.42165602,4.376218164,26.15784547,51.32327595,63.29339142,21.40705704,49.9662996,65.70087325,-0.377827168,19.57507061,47.54150895,63.07116702,99.95211383,40.27324496,54.92663019,60.40991836,36.26167385,41.43749355,34.37379305,39.37406069,86.17730415,86.89020418,-0.623261765,24.50905762,49.28062367,61.15400887,90.46981213,2041,37.1813385,54.30853154,6881.5846,Low,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,1,T0: Standard technology assumptions,2015,2015,2090,inf,-3168.771801,945.6153669,942.4855434,1.702569023,1.56191161,1.844314016,1.609574219,2059,1.629364212,1.801266615,0.745,0.213333333,0.006666667,C3,C3: limit warming to 2°C (>67%),1.578328891,1.448905242,1.717124161,1.53662052,2070,0.599910595,0.121591417,0.001788109,,,"111, 120, 153",6F7899
AIM/CGE 2.0,SSP1-34,C5,C5: limit warming to 2.5°C (>50%),C5,NA,C5,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,35.2017856,26.4760442,9.0377818,FALSE,,,48.12644149,35.68552262,14.61066938,9.339583912,20.87413591,32.77574181,6.603257949,17.69294102,31.05643286,-0.377827168,4.966338128,15.56758855,28.52307378,75.60085419,23.94048092,37.18301315,47.56727111,19.8288255,23.52286339,22.01213117,-15.86947779,8.62377824,20.89943636,-0.675499458,7.887412979,19.05506812,30.67974623,70.7003894,2064,37.1813385,54.30853154,6881.5846,Low,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,1,T0: Standard technology assumptions,2015,2015,,inf,0,1774.370588,1774.370588,2.098823413,1.90854414,2.320239862,2.090243512,2100,2.090243512,2.320239862,0.935,0.576666667,0.088333333,C4,C4: limit warming to 2°C (>50%),1.962483924,1.795520349,2.144655453,1.962483924,2100,0.931157801,0.46312025,0.022351363,,,"140, 167, 208",8CA7D0
AIM/CGE 2.0,SSP1-45,C6,C6: limit warming to 3°C (>50%),C6,NA,C6,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,39.4589021,35.0300766,18.7381346,FALSE,,,55.87629904,53.25573812,26.89848411,-6.479225232,-10.47961272,-1.485421041,-6.306289551,-3.160222536,6.681122039,-0.220997728,-8.08303984,-5.31426783,4.048086408,48.67382414,-0.501658865,-18.9951841,-3.009299062,-3.912137076,-22.65943491,-15.39100781,-23.86893849,-55.27705433,-88.42735063,-0.478667453,-8.070814697,-12.37547002,-3.626668337,46.56533215,2099,39.4589021,57.97555218,6881.5846,Low,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,1,T0: Standard technology assumptions,2030,2040,,inf,0,2473.615376,2473.615376,2.666972564,2.419309523,2.918825765,2.664423381,2100,2.664423381,2.918825765,0.998333333,0.9,0.28,C5,C5: limit warming to 2.5°C (>50%),2.405439908,2.201909732,2.629059657,2.405439908,2100,0.996423782,0.83638802,0.144836835,,,"250, 193, 130",FAC182
AIM/CGE 2.0,SSP1-Baseline,C7,C7: limit warming to 4°C (>50%),C7,NA,C7,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P1a,P1a: Baseline,SSP,41.8711824,40.1918627,29.8798054,FALSE,,,60.51931114,61.80108556,51.57788582,-9.061063993,-12.54901911,-11.37093302,-7.026369376,-7.225896854,-1.750841757,-0.835327142,-7.89824416,-8.520893505,-3.570789413,23.00244814,-9.727957227,-16.91085685,-21.61915141,-10.47872157,-17.73521927,-22.26828684,-23.85370723,-55.25753494,-88.39802019,-1.409349511,-10.07384425,-13.87726307,-13.05743971,5.046302279,inf,42.1128088,62.45481986,6881.5846,Low,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,1,T0: Standard technology assumptions,2040,2040,,inf,0,2994.686677,2994.686677,3.396894796,3.112107271,3.707952425,3.396894796,2100,3.396894796,3.707952425,1,0.996666667,0.731666667,C7,C7: limit warming to 4°C (>50%),3.002759652,2.754722891,3.270344307,3.002759652,2100,1,0.990612427,0.502011623,,,"241, 136, 114",F18872
AIM/CGE 2.0,SSP4-26,C3,C3: limit warming to 2°C (>67%),C3y_+veGHGs,Limit to 2C (>67%) immediate 2020 action,C3,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,34.9675373,15.2161727,-2.785298,FALSE,,,41.59374329,20.40627236,2.32475822,28.17741906,52.31357758,64.76318234,21.78202571,51.66577561,68.59147443,-1.499192946,20.80923355,49.22766702,65.54002736,106.3078472,44.12181989,54.76083973,57.79318685,40.51423467,41.85116224,33.14332601,74.28176866,84.53894141,86.31300718,-2.041250149,26.64956329,50.12663736,62.40686164,94.30007054,2040,44.8180637,58.81128137,9266.2664,Medium,2100,Warning,Pass,no,global,Global integrated scenario,integrated/energy-emissions,4,T0: Standard technology assumptions,2020,2020,2077,inf,-55385.90955,982.207779,926.9343506,1.631255829,1.512516155,1.7657696,1.523933081,2060,1.588362617,1.727456821,0.69,0.15,0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.554968364,1.436524808,1.678820171,1.496835276,2070,0.580688422,0.082700045,0.000447027,,,"111, 120, 153",6F7899
AIM/CGE 2.0,SSP4-34,C5,C5: limit warming to 2.5°C (>50%),C5,NA,C5,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,41.4356293,29.2189688,6.3273842,FALSE,,,50.96434515,35.88601488,13.15546801,12.4596423,24.74169025,38.35936536,6.171865842,19.62395467,34.9653685,-1.499192946,6.160985416,19.07462459,33.82798124,85.67041196,32.95797622,42.74279407,48.36558733,29.02758388,29.74191131,24.70052519,14.4004847,36.96430652,89.1227981,-2.114783448,11.67966222,23.65895245,36.88085933,76.18729308,2060,44.8180637,59.19418442,9266.2664,Medium,2100,Warning,Pass,no,global,Global integrated scenario,integrated/energy-emissions,4,T0: Standard technology assumptions,2020,2020,,inf,0,1815.22911,1815.22911,2.022387706,1.840057002,2.196264697,2.01710525,2100,2.01710525,2.196264697,0.935,0.518333333,0.036666667,C4,C4: limit warming to 2°C (>50%),1.934993992,1.782870128,2.104372124,1.934322518,2100,0.936075101,0.430040232,0.010281627,,,"140, 167, 208",8CA7D0
AIM/CGE 2.0,SSP4-45,C6,C6: limit warming to 3°C (>50%),C6,NA,C6,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,46.2550611,40.8496662,16.7182348,FALSE,,,59.82618606,53.19411591,24.58885304,-2.828703925,-3.261986927,8.570437868,-5.449428291,-5.090235389,7.048587842,-1.499192946,-4.753552112,-4.19212024,7.488012441,62.13831657,8.482773738,5.333513164,17.8378913,6.05405019,-1.138239338,2.28519374,-10.0127363,4.863572583,20.52584008,-2.105778185,-2.998040692,-3.313074183,8.227993445,57.04022589,2087,46.2550611,60.07827199,9266.2664,Medium,2100,Warning,Pass,no,global,Global integrated scenario,integrated/energy-emissions,4,T0: Standard technology assumptions,2030,2040,,inf,0,2650.455505,2650.455505,2.500915429,2.280824433,2.710889953,2.500915429,2100,2.500915429,2.710889953,0.996666667,0.865,0.181666667,C5,C5: limit warming to 2.5°C (>50%),2.34220498,2.158048823,2.539776189,2.34220498,2100,0.996423782,0.819400983,0.094769781,,,"250, 193, 130",FAC182
AIM/CGE 2.0,SSP4-Baseline,C7,C7: limit warming to 4°C (>50%),C7,NA,C7,non-IMP,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P1a,P1a: Baseline,SSP,49.772638,47.2947702,36.763514,FALSE,,,66.69197583,67.18818481,59.10040781,-13.76060234,-17.95885509,-14.6070165,-13.25986024,-15.37381064,-7.825894918,-1.545653368,-12.00388103,-13.75279633,-6.42790954,17.27068499,-11.48179935,-18.796,-24.06908798,-11.63275933,-18.55708749,-22.69835084,-18.61586719,-37.19928997,-54.28144546,-2.214040606,-13.4230462,-17.28216159,-13.88320563,0.720443113,inf,50.5498265,69.15319496,9266.2664,Medium,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,4,T0: Standard technology assumptions,2040,2040,,inf,0,3401.566263,3401.566263,3.325269251,3.071165302,3.607290614,3.325269251,2100,3.325269251,3.607290614,1,0.998333333,0.716666667,C7,C7: limit warming to 4°C (>50%),3.040097845,2.813171695,3.280419058,3.040097845,2100,1,0.994635673,0.532409477,,,"241, 136, 114",F18872
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,C5,C5: limit warming to 2.5°C (>50%),C5,NA,C5,non-IMP,https://doi.org/10.1038/s41560-018-0179-z,P3b,P3b: NDC + Delayed global action,CD-LINKS,35.312021,13.0553991,5.9891869,FALSE,31610.89957,Low,52.28152244,24.56135006,18.36077283,8.75614784,48.59513382,57.1345269,9.202281587,53.76685617,66.71312817,-1.391660045,8.404134295,53.25051294,66.13559494,84.46464565,-0.089214929,36.08413233,33.86784328,-3.716487047,9.258300177,4.394270552,-15.37825819,-31.02076796,-50.79689622,-1.385447064,8.095283195,47.91836755,56.19355755,66.17708222,2039,39.0884938,58.04241801,8990.6331,Medium,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2,T0: Standard technology assumptions,2020,2020,,inf,0,1265.53643,1265.53643,2.138917891,1.942753163,2.353675544,2.138917891,2100,2.138917891,2.353675544,0.956666667,0.615,0.083333333,C4,C4: limit warming to 2°C (>50%),1.983461141,1.82295416,2.157613252,1.983461141,2100,0.939651319,0.484130532,0.022798391,,,"140, 167, 208",8CA7D0
AIM/CGE 2.1,CD-LINKS_INDCi,C7,C7: limit warming to 4°C (>50%),C7,NDCs announced prior to COP26,C7,non-IMP,https://doi.org/10.1007/s10584-020-02837-9,P1c,P1c: NDC,CD-LINKS,36.0684425,39.5199596,51.5883074,FALSE,32131.66379,Low,53.25192488,58.83395675,75.03830508,6.791609561,0.780932938,-2.978782909,7.697708895,2.628790761,0.969310137,-1.363646158,6.911042966,0.771487075,-1.996969267,-33.14413926,3.537084779,-2.136365882,-8.237407489,5.508562126,-3.140396252,-12.275816,-15.39705082,-32.3542488,-52.36096294,-1.304744504,6.088100499,-0.8249015,-5.565603651,-38.32663109,inf,51.5883074,75.03830508,8990.6331,Medium,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2,,2100,2100,,inf,0,3539.098395,3539.098395,3.341541617,3.079815239,3.633502891,3.341541617,2100,3.341541617,3.633502891,1,0.998333333,0.721666667,C7,C7: limit warming to 4°C (>50%),3.07132003,2.836570974,3.329269128,3.07132003,2100,1,0.995529727,0.552972731,,,"241, 136, 114",F18872
