year,Emissions|CO2 (not converted),unit,Emissions|CO2
2005,9.411573955,GtCO2,34076.71318
2006,9.781789062,GtCO2,35397.06342
2007,9.840548978,GtCO2,35578.10318
2008,10.03894407,GtCO2,36289.29407
2009,10.02440385,GtCO2,36210.91431
2010,10.50323168,GtCO2,37933.2181
2011,10.82272671,GtCO2,39058.26793
2012,10.99362531,GtCO2,39660.54894
2013,10.94193468,GtCO2,39441.88078
2014,11.10275166,GtCO2,40002.89084
2015,11.21546832,GtCO2,40412.19572
2016,10.93313793,GtCO2,39370.1709
2017,11.07817718,GtCO2,39886.68711
2018,11.20417326,GtCO2,40325.90205
2019,11.36397852,GtCO2,40899.01648
2020,10.72678056,GtCO2,38544.99723
2021,11.22765298,GtCO2,40345.0019
2022,11.31543005,GtCO2,40662.94537
2023,,GtCO3,40900
