category,tech,2020,2025,2030,2035,2040,2045,2050
solar,S-CdTe,0.04,0.04,0.04,0.04,0.04,0.04,0.04
solar,S-c-Si,0.94,0.945,0.95,0.95,0.95,0.95,0.95
wind,W-on-AG,0.17,0.155,0.14,0.13,0.12,0.12,0.12
wind,W-on-SG-PM-MS,0,0.015,0.03,0.035,0.04,0.045,0.05
wind,W-on-SG-PM-HS,0.28,0.28,0.28,0.28,0.28,0.28,0.28
wind,W-on-SG-E-DD,0.55,0.55,0.55,0.555,0.56,0.555,0.55
wind,W-off-AG,0.62,0.605,0.59,0.56,0.53,0.515,0.5
wind,W-off-SG-PM-MS,0.35,0.345,0.34,0.345,0.35,0.345,0.34
wind,W-off-SG-PM-DD,0,0.02,0.04,0.07,0.1,0.12,0.14
wind_default,wind_default,1,1,1,1,1,1,1
