Model,Model_Type
AIM/CGE 2.0,RD_CGE
AIM/CGE 2.1,RD_CGE
AIM/CGE 2.2,RD_CGE
AIM/Hub-Global 2.0,RD_CGE
C-ROADS-5.005,SD
COFFEE 1.1,IT_PE
COPPE-COFFEE 1.0,IT_PE
DNE21+ V.14E1,IT_PE
DNE21+ V.14E2,IT_PE
EPPA 6,RD_CGE
En-ROADS-96,SD
GCAM 4.0,RD_PE
GCAM 4.2,RD_PE
GCAM 5.2,RD_PE
GCAM 5.3,RD_PE
GCAM-PR 5.3,RD_PE
GEM-E3_V2021,RD_CGE
GRAPE-15 1.0,IT_GE
IMAGE 3.0,RD_PE
IMAGE 3.0.1,RD_PE
IMAGE 3.0.2,RD_PE
IMAGE 3.2,RD_PE
MERGE-ETL 6.0,IT_GE
MESSAGE V.3,IT_GE
MESSAGE-GLOBIOM 1.0,IT_GE
MESSAGEix-GLOBIOM 1.0,IT_GE
MESSAGEix-GLOBIOM_1.0,IT_GE
MESSAGEix-GLOBIOM_1.1,IT_GE
MESSAGEix-GLOBIOM_1.2,IT_GE
MESSAGEix-GLOBIOM_GEI 1.0,IT_GE
POLES ADVANCE,RD_PE
POLES CD-LINKS,RD_PE
POLES EMF30,RD_PE
POLES EMF33,RD_PE
POLES ENGAGE,RD_PE
POLES GECO2019,RD_PE
REMIND 1.6,IT_GE
REMIND 1.7,IT_GE
REMIND 2.1,IT_GE
REMIND-H13 2.1,IT_GE
REMIND-MAgPIE 1.5,IT_GE
REMIND-MAgPIE 1.7-3.0,IT_GE
REMIND-MAgPIE 2.0-4.1,IT_GE
REMIND-MAgPIE 2.1-4.2,IT_GE
REMIND-MAgPIE 2.1-4.3,IT_GE
TIAM-ECN 1.1,IT_PE
TIAM-UCL 4.1.1,IT_PE
TIAM-WORLD 1.0,IT_PE
WITCH 4.6,IT_GE
WITCH 5.0,IT_GE
WITCH-GLOBIOM 3.1,IT_GE
WITCH-GLOBIOM 4.2,IT_GE
WITCH-GLOBIOM 4.4,IT_GE
