model,scenario,carbon_budget_fairness
IMAGE 3.2,SSP1_SPA1_19I_D,5.23325815314895
IMAGE 3.2,SSP1_SPA1_19I_D_LB,4.648037910972308
IMAGE 3.2,SSP1_SPA1_19I_LI,5.001314187588459
IMAGE 3.2,SSP1_SPA1_19I_LIRE,5.149369754998134
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,4.583010758494185
IMAGE 3.2,SSP1_SPA1_19I_RE,5.17128918761108
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,4.725306885303741
IMAGE 3.2,SSP2_SPA1_19I_D_LB,4.795111889517173
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,4.557178233970714
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,4.893529626651339
IMAGE 3.2,SSP2_SPA2_19I_D,5.129299942831005
IMAGE 3.2,SSP2_SPA2_19I_LI,5.125491340567855
IMAGE 3.2,SSP2_SPA2_19I_LIRE,5.000342613401916
IMAGE 3.2,SSP2_SPA2_19I_RE,4.989808173383888
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,5.513149531539091
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,5.331535444324304
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,5.625378321732189
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,5.513149531539091
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,5.331535444324304
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,5.408856132830108
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,4.3816445839227915
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,4.6225317331797395
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,4.755913452627363
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,3.7862981526559754
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,4.837028033760124
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,4.001856120560138
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,4.901000235165254
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,4.3465652217729085
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,4.47282762544854
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,4.603859015505873
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,4.07765039843041
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,4.164242038631326
