model,scenario,carbon_budget_share
AIM/CGE 2.2,EN_NPi2020_300f,1.001524033556006
IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.0441818346592078
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.0212117357697301
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.0485753444456785
IMAGE 3.2,SSP2_SPA2_19I_LI,1.210485547540415
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,1.0234786680776906
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,1.0872395654906148
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.8867257239877863
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.9824310481938975
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.9816525653354132
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.9532163506208086
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.9923087238833252
WITCH 5.0,EN_NPi2020_400f,0.8245960391643306
WITCH 5.0,EN_NPi2020_450f,0.8343780518098525
WITCH 5.0,EN_NPi2020_500f,0.8471685634482419
