model,scenario,carbon_budget_share
AIM/CGE 2.2,EN_NPi2020_400f,1.0047167916323707
AIM/CGE 2.2,EN_NPi2020_500f,1.013154551937588
AIM/CGE 2.2,EN_NPi2020_600f,1.024617693855164
GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.9415844292323174
GCAM 5.3,NGFS2_Net-Zero 2050,1.07168173642172
IMAGE 3.2,SSP1_SPA1_19I_D,1.2011693458903372
IMAGE 3.2,SSP1_SPA1_19I_LI,1.1503145760945814
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.1656697927573159
IMAGE 3.2,SSP1_SPA1_19I_RE,1.1760091559560453
IMAGE 3.2,SSP2_SPA2_19I_D,1.183949383753588
IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.1271281359439633
IMAGE 3.2,SSP2_SPA2_19I_RE,1.122460241836614
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.300092883377198
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.2766732236717762
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.3641653790545907
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.300092883377198
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.2766732236717762
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,1.3545817505306796
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.9295522934410146
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.9678031216303726
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.9975371226572696
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,1.0118074237455923
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,1.0316193880225406
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.9243273021422806
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.9665009919950335
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,1.054035045149948
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,1.013826443466881
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,1.207489779362005
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.940469091396052
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.9764785988322106
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,1.0071986708134497
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,1.0333340901416237
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.9839442918701584
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.9567113298269361
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,1.080655208733079
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,1.046131377367454
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,1.171371367677384
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,1.1717815360921775
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,1.1102821300568233
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,1.0962320235006424
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,1.1200875492257811
