model,scenario,investment_score,investment_score_2050
AIM/CGE 2.2,EN_NPi2020_300f,0.12552975109873907,0.14405211100069218
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.11678585412277386,0.5019638157418608
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3237244464603815,0.5958907948572637
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.29817999605146095,0.736607781614606
IMAGE 3.2,SSP2_SPA2_19I_LI,0.10234445005100207,0.3179990686500524
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.8338040504729738,0.9300546092312109
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.775838562430199,0.7999864899485951
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,1.0
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.09827139421784606,0.3368046992354968
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.022397523948705984,0.23780528773722395
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.17024526463102607,0.4491953691070633
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.37384816558610007,0.5648078366629469
WITCH 5.0,EN_NPi2020_400f,0.0,0.0
WITCH 5.0,EN_NPi2020_450f,0.0011282669085884878,0.006433415525962998
WITCH 5.0,EN_NPi2020_500f,0.005604896925075368,0.016878804264856214
