model,scenario,investment_score,investment_score_2050,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.24652137108301275,0.5149056672115518,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.26721266559123635,0.6157851778440235,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LI,0.17884306583747317,0.4504731856274819,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.41763473417563063,0.5891066315906615,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.45087724197998236,0.6737536625406163,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE,0.37480188761624367,0.6381502654692512,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.42221933866829203,0.8105503290387138,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2925871774592896,0.5379125528044048,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.45764563208308506,0.6729627500396698,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.5522537180254099,0.7693029470088323,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_D,0.3629777869597469,0.5886368401716414,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LI,0.32388703290321774,0.5496566319755505,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.634961287348527,0.7994198272393567,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_RE,0.5870615643976435,0.7886676044953542,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.17474292613841716,0.19530792265236893,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.16556094355005685,0.15803666738530406,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.12652677061589718,0.16612245896565825,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.15958566449534467,0.1648686881184544,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.14580296394815467,0.1366303884823783,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.12388760894286084,0.1603943309257191,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.12570652926516443,0.15603443584935414,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.12027520084386865,0.1430101551038694,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.12086598252448563,0.14713880898327078,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.19530804421503953,0.33899129329907474,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.11901757466993353,0.1405602156408576,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.14605682365050568,0.2405749526464492,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.1150903845655007,0.13267337032512508,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.10225677075984482,0.1600440786058813,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.13204778786101898,0.15390052410080912,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.1342239145451673,0.22755093039022573,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.12200557117749132,0.16845267784925436,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.12319177657982584,0.18932400748709852,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.11118127634832971,0.15606641023733198,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.1114235325108388,0.17363174187667246,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.11031040248534554,0.11188761440215074,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.15030283476575393,0.10137988841947879,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.1396107529676553,0.15176604406840571,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.11240488421005805,0.12011415611590784,Countries of Latin America and the Caribbean
