model,scenario,electricity_price
IMAGE 3.2,SSP1_SPA1_19I_D,3.381446244
IMAGE 3.2,SSP1_SPA1_19I_D_LB,5.381028012
IMAGE 3.2,SSP1_SPA1_19I_LI,2.90068854
IMAGE 3.2,SSP1_SPA1_19I_LIRE,2.599339669
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,4.638222346
IMAGE 3.2,SSP1_SPA1_19I_RE,3.990672386
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,6.758454103
IMAGE 3.2,SSP2_SPA1_19I_D_LB,4.386149537
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,4.574738896
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,4.867775594
IMAGE 3.2,SSP2_SPA2_19I_D,4.298356038
IMAGE 3.2,SSP2_SPA2_19I_LI,3.573802764
IMAGE 3.2,SSP2_SPA2_19I_LIRE,4.68343581
IMAGE 3.2,SSP2_SPA2_19I_RE,5.505109763
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,5.213566883
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,5.28341434
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,5.56246747
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,5.083563765
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,5.128471546
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,5.463449343
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,5.668486151
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,5.436791715
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,5.221528477
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,5.952271709
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,5.041579614
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,5.648881643
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,4.846822415
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,5.34692661
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,4.863378384
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,8.000861155
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,3.832592012
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,4.112792489
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,4.460636635
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,4.813404762
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,4.653965957
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,4.310545831
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,7.543504739
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,3.622797055
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,3.852907211
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,4.096299791
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,4.324111762
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,4.984387098
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,4.501381487
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,4.440567588
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,4.218593348
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,5.437936508
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,5.450821862
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.190059662
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.13033187
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.210089618
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.201815964
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.270574028
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.370023474
REMIND-MAgPIE 1.7-3.0,CO_Bridge,-1.005026906
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.361131276
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.371693743
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.377053876
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.410938033
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.681662688
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.370023474
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.270574028
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.366938511
