model,scenario,electricity_price
IMAGE 3.2,SSP1_SPA1_19I_D,32.618255314748424
IMAGE 3.2,SSP1_SPA1_19I_D_LB,35.236545374641416
IMAGE 3.2,SSP1_SPA1_19I_LI,32.27570872914482
IMAGE 3.2,SSP1_SPA1_19I_LIRE,32.072235284740216
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,34.483633439079725
IMAGE 3.2,SSP1_SPA1_19I_RE,33.48134311592999
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,36.89305558491875
IMAGE 3.2,SSP2_SPA1_19I_D_LB,33.95339401007259
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,34.53876518238068
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,34.72466620777354
IMAGE 3.2,SSP2_SPA2_19I_D,34.02396183613047
IMAGE 3.2,SSP2_SPA2_19I_LI,33.50842147935082
IMAGE 3.2,SSP2_SPA2_19I_LIRE,34.5094372589964
IMAGE 3.2,SSP2_SPA2_19I_RE,35.46680299968046
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.0
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.0
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.0
