,model,scenario,electricity_price,region
0,IMAGE 3.2,SSP1_SPA1_19I_D,29.749094565483023,Countries of Latin America and the Caribbean
1,IMAGE 3.2,SSP1_SPA1_19I_D_LB,33.36411845724497,Countries of Latin America and the Caribbean
2,IMAGE 3.2,SSP1_SPA1_19I_LI,30.063418479616942,Countries of Latin America and the Caribbean
3,IMAGE 3.2,SSP1_SPA1_19I_LIRE,30.730530270661603,Countries of Latin America and the Caribbean
4,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,31.925476464165786,Countries of Latin America and the Caribbean
5,IMAGE 3.2,SSP1_SPA1_19I_RE,33.295686249996756,Countries of Latin America and the Caribbean
6,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,34.727822004330925,Countries of Latin America and the Caribbean
7,IMAGE 3.2,SSP2_SPA1_19I_D_LB,30.780405246642392,Countries of Latin America and the Caribbean
8,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,31.95682975947406,Countries of Latin America and the Caribbean
9,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,31.993332635945574,Countries of Latin America and the Caribbean
10,IMAGE 3.2,SSP2_SPA2_19I_D,30.810887340772016,Countries of Latin America and the Caribbean
11,IMAGE 3.2,SSP2_SPA2_19I_LI,31.746788754271773,Countries of Latin America and the Caribbean
12,IMAGE 3.2,SSP2_SPA2_19I_LIRE,31.732203234422247,Countries of Latin America and the Caribbean
13,IMAGE 3.2,SSP2_SPA2_19I_RE,32.91556219341628,Countries of Latin America and the Caribbean
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,17.048060797706,Countries of Latin America and the Caribbean
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,17.232471347363223,Countries of Latin America and the Caribbean
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,17.856889103980826,Countries of Latin America and the Caribbean
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,16.782249574154438,Countries of Latin America and the Caribbean
18,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,16.56830067272959,Countries of Latin America and the Caribbean
19,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,17.73314006866358,Countries of Latin America and the Caribbean
20,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,18.185043370155515,Countries of Latin America and the Caribbean
21,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,17.710842845135826,Countries of Latin America and the Caribbean
22,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,17.13506735223689,Countries of Latin America and the Caribbean
23,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,19.262732477827935,Countries of Latin America and the Caribbean
24,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,16.806506344057603,Countries of Latin America and the Caribbean
25,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,20.276408285732142,Countries of Latin America and the Caribbean
26,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,16.555498341742673,Countries of Latin America and the Caribbean
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,17.76230562978909,Countries of Latin America and the Caribbean
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,16.593678761151285,Countries of Latin America and the Caribbean
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,21.209082950727296,Countries of Latin America and the Caribbean
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,17.55028868063513,Countries of Latin America and the Caribbean
31,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,16.84253758242886,Countries of Latin America and the Caribbean
32,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,16.868587239122494,Countries of Latin America and the Caribbean
33,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,17.373439644140372,Countries of Latin America and the Caribbean
34,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,16.344025991443814,Countries of Latin America and the Caribbean
35,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,15.428333057581138,Countries of Latin America and the Caribbean
36,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,18.696539539410747,Countries of Latin America and the Caribbean
37,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,15.691929965175659,Countries of Latin America and the Caribbean
38,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,15.710904382023985,Countries of Latin America and the Caribbean
39,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,15.60546625919378,Countries of Latin America and the Caribbean
40,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,15.972717238142165,Countries of Latin America and the Caribbean
41,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,16.71210634325178,Countries of Latin America and the Caribbean
42,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,15.80618210398027,Countries of Latin America and the Caribbean
43,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,15.857216372869015,Countries of Latin America and the Caribbean
44,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,15.127797650672536,Countries of Latin America and the Caribbean
45,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,16.68722499653846,Countries of Latin America and the Caribbean
46,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,16.474460961153845,Countries of Latin America and the Caribbean
47,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,17.59946153846154,Countries of Latin America and the Caribbean
48,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,17.379107692307695,Countries of Latin America and the Caribbean
49,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,17.51766153846154,Countries of Latin America and the Caribbean
50,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,16.62423846153846,Countries of Latin America and the Caribbean
51,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,17.421192307692305,Countries of Latin America and the Caribbean
