,scenario,model,2030,2040,2050,2060,2070,2080,2090,2100,mean_value,mean_value_2050,largest_annual_increase,mean_annual_increase,temperature_category
0,CD-LINKS_INDCi,AIM/CGE 2.1,0.01918471449161314,0.014673226685420962,0.013083153461600265,0.011876441216736228,0.011606765003378351,0.010556883469333318,0.00931909005387099,0.009142927821932701,0.012430400275485745,0.015647031546211457,0.03873194271695711,0.008753260687425093,C7
1,CO_CurPol,AIM/CGE 2.1,0.03273084703772024,0.027972912016063826,0.024666603411802424,0.02127954040275467,0.018777300571192503,0.018169178753836574,0.017949847912041773,0.017281536494088867,0.02235347082493761,0.02845678748852883,0.01247799651558604,0.002451943577829198,C7
2,EN_INDCi2030_1200,AIM/CGE 2.2,0.011457307605270946,0.013554407452008217,0.011142599918934503,0.014536173456383424,0.010641125630584088,0.009298242973957259,0.008238260152545867,0.007463962104533595,0.010791509911777238,0.012051438325404555,0.07253371962661645,0.012496660130090119,C4
3,EN_INDCi2030_1200f,AIM/CGE 2.2,0.011457307605270946,0.011979155060352832,0.010831750494104817,0.015599837838356506,0.011126332221124411,0.010954722577663424,0.008486168814482472,0.007699649792327617,0.011016865550460378,0.011422737719909532,0.09358260833135003,0.012901189330651406,C4
4,EN_INDCi2030_1400,AIM/CGE 2.2,0.011457307605270946,0.01165970241350779,0.010604778836338891,0.012979257482631523,0.011146080514046865,0.00908660161484281,0.008199915481841848,0.007436521679291256,0.01032127070347149,0.011240596285039208,0.051104559199604604,0.012331739152456809,C4
5,EN_INDCi2030_1400f,AIM/CGE 2.2,0.011457307605270946,0.011210509020888274,0.010426059124174351,0.011585181539339467,0.011476639521315895,0.010634536023966678,0.008463405525188358,0.007663746863517664,0.010364673152957705,0.011031291916777859,0.04609822904199709,0.012676483463157133,C4
6,EN_INDCi2030_1600,AIM/CGE 2.2,0.011457307605270946,0.010570873914645422,0.010294947348191525,0.011319652232528553,0.011763112761402532,0.010415664095383716,0.008323591775414616,0.007434074087289855,0.010197402977515896,0.010774376289369296,0.03796184661235446,0.012330687259331652,C5
7,EN_INDCi2030_1600f,AIM/CGE 2.2,0.011457307605270946,0.010761069893218693,0.01040281030841681,0.011027487242178282,0.012433633254195003,0.010317676355099127,0.008634465043951408,0.007517483734784462,0.010318991679639341,0.010873729268968816,0.043498659071110266,0.012451428892686451,C5
8,EN_INDCi2030_1800,AIM/CGE 2.2,0.011457307605270946,0.010606184426965981,0.010317116842675332,0.010502723875131705,0.010535986070322405,0.009616282072799388,0.008319476150780441,0.007396024655747063,0.009843887712461658,0.01079353629163742,0.03796184661235446,0.012215472353862375,C5
9,EN_INDCi2030_1800f,AIM/CGE 2.2,0.011457307605270946,0.010606184426965981,0.010317116842675332,0.010502723875131705,0.010535986070322405,0.009616282072799388,0.008319476150780441,0.007396024655747063,0.009843887712461658,0.01079353629163742,0.03796184661235446,0.012215472353862375,C5
