,scenario,model,mean_value,mean_value_2050
0,EN_NPi2020_300f,AIM/CGE 2.2,0.5543210861055765,0.6607317698729351
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.5475717030649742,0.9089878562439596
2,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.707306867993012,0.9741378469566291
3,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.6875891973885451,1.0717425018353073
4,SSP2_SPA2_19I_LI,IMAGE 3.2,0.5364244345195619,0.7813855243328668
5,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,1.101035503879613,1.2059218307279411
6,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,1.0562921493991633,1.1157034840603097
7,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,1.2293215674320364,1.2544376203540697
8,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.5332804571786469,0.7944295577887099
9,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,0.474713686020771,0.7257612071144303
10,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.5888368322901693,0.8723864043442329
11,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,0.7459971888795635,0.9525779665393747
12,EN_NPi2020_400f,WITCH 5.0,0.4574251167814023,0.5608137933530609
13,EN_NPi2020_450f,WITCH 5.0,0.4582960220035283,0.5652761636508671
14,EN_NPi2020_500f,WITCH 5.0,0.4617515168241306,0.5725213341624514
