,scenario,model,mean_value,mean_value_2050
0,EN_NPi2020_300f,AIM/CGE 2.2,0.5543210861055765,0.6607317698729351
1,EN_NPi2020_400f,AIM/CGE 2.2,0.5479262964090839,0.6438220936940326
2,EN_NPi2020_500f,AIM/CGE 2.2,0.5460557552751824,0.6381569606267905
3,EN_NPi2020_600,AIM/CGE 2.2,0.5352858318168713,0.6851729198462617
4,EN_NPi2020_600f,AIM/CGE 2.2,0.5210107988850136,0.5945355279664678
5,NGFS2_Divergent Net Zero Policies,GCAM 5.3,0.41315529877802964,0.5386328916658547
6,NGFS2_Net-Zero 2050,GCAM 5.3,0.40271336110513056,0.535337270247621
7,SSP1_SPA1_19I_D,IMAGE 3.2,0.5093995146930861,0.7927827869232672
8,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.5475717030649742,0.9089878562439596
9,SSP1_SPA1_19I_LI,IMAGE 3.2,0.47332432370052807,0.7560774942821691
10,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.6622251853296013,0.8428207266620146
11,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.707306867993012,0.9741378469566291
12,SSP1_SPA1_19I_RE,IMAGE 3.2,0.6115689743133252,0.9006532428152961
13,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.6875891973885451,1.0717425018353073
14,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.5702186077977053,0.7941702874001098
15,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.7045231349191468,0.9650522155674277
16,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.7703164537311405,1.022465918511926
17,SSP2_SPA2_19I_D,IMAGE 3.2,0.5896296436160323,0.7988099867221788
18,SSP2_SPA2_19I_LI,IMAGE 3.2,0.5364244345195619,0.7813855243328668
19,SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.7893774173352305,1.0017165315769576
20,SSP2_SPA2_19I_RE,IMAGE 3.2,0.79734065828383,1.0269434723848865
21,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.5200514225765283,0.6342117821347293
22,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.5202511620562804,0.6334701398712748
23,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.4927860353135201,0.6067378405271657
24,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.5205593578608808,0.6127570723290426
25,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.5184083499074449,0.605434220370312
26,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.4925152484012447,0.6047131637791057
27,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.5313851343564149,0.6680073639951779
28,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.5243044813260582,0.644072605365069
29,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,0.5173804678186273,0.6241695683781825
30,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.5431928165028863,0.7298253719459828
31,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,0.5134374830121347,0.6145366634789127
32,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.5311643233331733,0.707587001781935
33,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,0.5078031968485656,0.6056607162324329
34,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.516059467793004,0.6668889173421808
35,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,0.5293723817282685,0.6577129062403522
36,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.4950242643254091,0.6339577428086823
37,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,0.549100559420164,0.7237644541302173
38,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.5413225047348926,0.7118274418773364
39,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.5301346310297768,0.6896604630585808
40,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,0.5222944262496722,0.6755349448479162
41,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,0.505175413170917,0.5992000222962238
42,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,0.5262247442085114,0.5963067840449465
43,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,0.4652311280802284,0.5577882466749625
44,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,0.5430904247637902,0.6783032730525919
45,EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,0.5311886904064254,0.6400461673871157
46,EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,0.5235438597807263,0.624996045085722
47,EN_NPi2020_600f_DR4p,MESSAGEix-GLOBIOM_1.1,0.5097819643551449,0.6053372724395413
48,EN_NPi2020_700,MESSAGEix-GLOBIOM_1.1,0.49991470280301775,0.6266742184979779
49,EN_NPi2020_700_COV,MESSAGEix-GLOBIOM_1.1,0.5183819295067471,0.6246585856347139
50,EN_NPi2020_700f,MESSAGEix-GLOBIOM_1.1,0.49815144451021354,0.586646783172478
51,EN_NPi2020_700f_COV,MESSAGEix-GLOBIOM_1.1,0.521792578379968,0.5828286782684617
52,NGFS2_Divergent Net Zero Policies,MESSAGEix-GLOBIOM_1.1,0.47382342606025557,0.6160888834732504
53,NGFS2_Net-Zero 2050,MESSAGEix-GLOBIOM_1.1,0.47267031486173244,0.5915955147104364
54,SSP2_int_mc_50,MESSAGEix-GLOBIOM_GEI 1.0,0.5370559311820648,0.5978485045375954
55,SSP2_noint_mc_50,MESSAGEix-GLOBIOM_GEI 1.0,0.5364132501344525,0.5966090356207985
56,SSP2_openres_lc_100,MESSAGEix-GLOBIOM_GEI 1.0,0.5110960988573746,0.5943697667860313
57,SSP2_openres_lc_120,MESSAGEix-GLOBIOM_GEI 1.0,0.5185117324041194,0.6085326460244604
58,SSP2_openres_lc_80,MESSAGEix-GLOBIOM_GEI 1.0,0.5028022990033866,0.5790284209027041
59,SSP2_openres_lc_CB400,MESSAGEix-GLOBIOM_GEI 1.0,0.5525493002831958,0.6826634768713031
60,SSP2_openres_lc_CB450,MESSAGEix-GLOBIOM_GEI 1.0,0.5486010481258393,0.6743854926834781
61,SSP2_openres_lc_CB500,MESSAGEix-GLOBIOM_GEI 1.0,0.5437804359413934,0.6635824211804437
62,SSP2_openres_lc_CB550,MESSAGEix-GLOBIOM_GEI 1.0,0.5389671246226609,0.6523160804366146
63,SSP2_openres_lc_CB600,MESSAGEix-GLOBIOM_GEI 1.0,0.5349375932387982,0.6429794294943676
64,SSP2_openres_mc_50,MESSAGEix-GLOBIOM_GEI 1.0,0.5377438836320522,0.5990070252917932
65,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,1.018642096255825,1.0649312800379733
66,CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,1.1309299622814686,1.1883314274145396
67,CD-LINKS_NPi2020_1000,REMIND-MAgPIE 1.7-3.0,1.0187355156802713,1.0964415557510772
68,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,1.101035503879613,1.2059218307279411
69,CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,0.9670389521863475,1.0133594316539802
70,CO_2Deg2030,REMIND-MAgPIE 1.7-3.0,0.9859796175553828,1.014502403758293
71,CO_Bridge,REMIND-MAgPIE 1.7-3.0,0.9498547995913125,0.9843014288430016
72,PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0,1.0996635001482382,1.1263047304805456
73,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,1.0562921493991633,1.1157034840603097
74,PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,1.0631217996229256,1.1016517676346615
