,scenario,model,mean_value,mean_value_2050,region
0,EN_INDCi2030_1200,AIM/CGE 2.2,0.42845400183190185,0.48848620828635575,Countries of Latin America and the Caribbean
1,EN_INDCi2030_1200f,AIM/CGE 2.2,0.41445395509865435,0.47035853186451854,Countries of Latin America and the Caribbean
2,EN_INDCi2030_1400,AIM/CGE 2.2,0.3962432801701254,0.4749769981010956,Countries of Latin America and the Caribbean
3,EN_INDCi2030_1400f,AIM/CGE 2.2,0.4176329260186238,0.4708844974633207,Countries of Latin America and the Caribbean
4,EN_INDCi2030_1600,AIM/CGE 2.2,0.40351557673777716,0.4651458589554592,Countries of Latin America and the Caribbean
5,EN_INDCi2030_1600f,AIM/CGE 2.2,0.4031842949215442,0.4687775189127108,Countries of Latin America and the Caribbean
6,EN_INDCi2030_1800,AIM/CGE 2.2,0.3895680155756651,0.46953785620598476,Countries of Latin America and the Caribbean
7,EN_INDCi2030_1800f,AIM/CGE 2.2,0.3895680155756651,0.46953785620598476,Countries of Latin America and the Caribbean
8,EN_INDCi2100,AIM/CGE 2.2,0.3599740339413119,0.4605928881026694,Countries of Latin America and the Caribbean
9,EN_NPi2020_1200f,AIM/CGE 2.2,0.4088730359626822,0.46272016912591984,Countries of Latin America and the Caribbean
10,EN_NPi2020_1400,AIM/CGE 2.2,0.4050118132615993,0.4626426273792406,Countries of Latin America and the Caribbean
11,EN_NPi2020_1400f,AIM/CGE 2.2,0.4033241311077013,0.46164481301091914,Countries of Latin America and the Caribbean
12,EN_NPi2020_1600,AIM/CGE 2.2,0.3894544721170938,0.4590499388518045,Countries of Latin America and the Caribbean
13,EN_NPi2020_1600f,AIM/CGE 2.2,0.39037980367599506,0.4590499388518045,Countries of Latin America and the Caribbean
14,EN_NPi2020_1800,AIM/CGE 2.2,0.38700421519559236,0.45940251621813755,Countries of Latin America and the Caribbean
15,EN_NPi2020_1800f,AIM/CGE 2.2,0.38700421519559236,0.45940251621813755,Countries of Latin America and the Caribbean
16,EN_NPi2020_400f,AIM/CGE 2.2,0.47005179906270356,0.5753501379857224,Countries of Latin America and the Caribbean
17,EN_NPi2020_500f,AIM/CGE 2.2,0.4552940894542857,0.5394389743505841,Countries of Latin America and the Caribbean
18,EN_NPi2020_600f,AIM/CGE 2.2,0.425752093400592,0.5011168336100658,Countries of Latin America and the Caribbean
19,EN_NPi2100,AIM/CGE 2.2,0.32156993894160757,0.43198417094775504,Countries of Latin America and the Caribbean
20,"NGFS1_Current policies (Hot house world, Rep)",GCAM 5.2,0.2665469518421688,0.2642249077331973,Countries of Latin America and the Caribbean
21,"NGFS1_Immediate 2C with CDR (Orderly, Rep)",GCAM 5.2,0.4367418053646666,0.43411836315444774,Countries of Latin America and the Caribbean
22,NGFS2_Current Policies,GCAM 5.3,0.5841870117994534,0.6077543800723302,Countries of Latin America and the Caribbean
23,NGFS2_Delayed Transition,GCAM 5.3,0.5450890896543645,0.7263134939418407,Countries of Latin America and the Caribbean
24,NGFS2_Divergent Net Zero Policies,GCAM 5.3,0.5307353132565091,0.7463310815515087,Countries of Latin America and the Caribbean
25,NGFS2_Nationally Determined Contributions (NDCs),GCAM 5.3,0.5672385025964766,0.6753587723586784,Countries of Latin America and the Caribbean
26,NGFS2_Net-Zero 2050,GCAM 5.3,0.48427604152379927,0.6959958893935533,Countries of Latin America and the Caribbean
27,EN_INDCi2100,GEM-E3_V2021,0.4189858071425461,0.5650433743637698,Countries of Latin America and the Caribbean
28,EN_INDCi2030_1000,IMAGE 3.0,0.5998694935603517,0.7012418572290866,Countries of Latin America and the Caribbean
29,EN_INDCi2030_1000f,IMAGE 3.0,0.7525400774060104,0.6247665851912277,Countries of Latin America and the Caribbean
30,EN_INDCi2030_1200,IMAGE 3.0,0.5667126322403777,0.6340905965700852,Countries of Latin America and the Caribbean
31,EN_INDCi2030_1200f,IMAGE 3.0,0.6007285902598327,0.641512537009198,Countries of Latin America and the Caribbean
32,EN_INDCi2030_1400,IMAGE 3.0,0.593403391158153,0.6631821157400909,Countries of Latin America and the Caribbean
33,EN_INDCi2030_1400f,IMAGE 3.0,0.6378152468973703,0.6575073569023511,Countries of Latin America and the Caribbean
34,EN_INDCi2030_3000,IMAGE 3.0,0.6929406466014973,0.7656761671930287,Countries of Latin America and the Caribbean
35,EN_INDCi2030_3000f,IMAGE 3.0,0.6929406466014973,0.7656761671930287,Countries of Latin America and the Caribbean
36,EN_INDCi2100,IMAGE 3.0,0.6567981232951808,0.7090415622522808,Countries of Latin America and the Caribbean
37,EN_NPi2020_1200,IMAGE 3.0,0.5792721316043019,0.6552911105773888,Countries of Latin America and the Caribbean
38,EN_NPi2020_1200f,IMAGE 3.0,0.5971623327439404,0.6848931498839159,Countries of Latin America and the Caribbean
39,EN_NPi2020_1400,IMAGE 3.0,0.5962537329317027,0.6870712960581641,Countries of Latin America and the Caribbean
40,EN_NPi2020_1400f,IMAGE 3.0,0.6201796918975867,0.6947754942198535,Countries of Latin America and the Caribbean
41,EN_NPi2020_3000,IMAGE 3.0,0.6954381397768059,0.7627226707789312,Countries of Latin America and the Caribbean
42,EN_NPi2020_3000f,IMAGE 3.0,0.6954381397768059,0.7627226707789312,Countries of Latin America and the Caribbean
43,EN_NPi2100,IMAGE 3.0,0.731834559962538,0.7926227850991743,Countries of Latin America and the Caribbean
44,EN_NoPolicy,IMAGE 3.0,0.7399259944382337,0.8130043880835894,Countries of Latin America and the Caribbean
45,SSP1-baseline,IMAGE 3.2,0.7603727658250077,1.160859162313705,Countries of Latin America and the Caribbean
46,SSP1_SPA1_19I_D,IMAGE 3.2,0.7391363686922016,1.1348717722059398,Countries of Latin America and the Caribbean
47,SSP1_SPA1_19I_LI,IMAGE 3.2,0.6642648704070448,1.0605329680825353,Countries of Latin America and the Caribbean
48,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.928436526621329,1.2204809373527021,Countries of Latin America and the Caribbean
49,SSP1_SPA1_19I_RE,IMAGE 3.2,0.8810511882018083,1.277064899397427,Countries of Latin America and the Caribbean
50,SSP1_SPA1_34I_D,IMAGE 3.2,0.7127829366445259,1.1060949396480697,Countries of Latin America and the Caribbean
51,SSP1_SPA1_34I_LI,IMAGE 3.2,0.6840145688115037,1.091478252246782,Countries of Latin America and the Caribbean
