,scenario,model,mean_value,mean_value_2050,region
0,SSP1_SPA1_19I_D,IMAGE 3.2,0.7391363686922016,1.1348717722059398,Countries of Latin America and the Caribbean
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.7620268387722312,1.2512612390804598,Countries of Latin America and the Caribbean
2,SSP1_SPA1_19I_LI,IMAGE 3.2,0.6642648704070448,1.0605329680825353,Countries of Latin America and the Caribbean
3,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.928436526621329,1.2204809373527021,Countries of Latin America and the Caribbean
4,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.9652122165124685,1.3181422240005876,Countries of Latin America and the Caribbean
5,SSP1_SPA1_19I_RE,IMAGE 3.2,0.8810511882018083,1.277064899397427,Countries of Latin America and the Caribbean
6,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.933508406098291,1.4759710138519935,Countries of Latin America and the Caribbean
7,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.7900982822713405,1.1614159052197384,Countries of Latin America and the Caribbean
8,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.9726999853943747,1.3172297108078448,Countries of Latin America and the Caribbean
9,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,1.0773634978551805,1.4283819566259144,Countries of Latin America and the Caribbean
10,SSP2_SPA2_19I_D,IMAGE 3.2,0.8679703622441464,1.2199389167534826,Countries of Latin America and the Caribbean
11,SSP2_SPA2_19I_LI,IMAGE 3.2,0.824724844870589,1.174965605303452,Countries of Latin America and the Caribbean
12,SSP2_SPA2_19I_LIRE,IMAGE 3.2,1.168861646520086,1.4631292270277814,Countries of Latin America and the Caribbean
13,SSP2_SPA2_19I_RE,IMAGE 3.2,1.1158708984248844,1.450723878656794,Countries of Latin America and the Caribbean
14,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.6597289470955342,0.7661367251153283,Countries of Latin America and the Caribbean
15,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.6495710568953498,0.723135113558328,Countries of Latin America and the Caribbean
16,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.6063881343724035,0.7324640740716731,Countries of Latin America and the Caribbean
17,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.6429606949207833,0.7310175392939569,Countries of Latin America and the Caribbean
18,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.6277130991566773,0.6984376762525919,Countries of Latin America and the Caribbean
19,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.6034684692306701,0.7258552615925322,Countries of Latin America and the Caribbean
20,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.6054807136167862,0.7208250442531985,Countries of Latin America and the Caribbean
21,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.5994721161038045,0.7057983150106887,Countries of Latin America and the Caribbean
22,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,0.600125689053463,0.7105617384345357,Countries of Latin America and the Caribbean
23,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.682479830073789,0.9319110315473934,Countries of Latin America and the Caribbean
24,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,0.5980808230508308,0.7029717038764054,Countries of Latin America and the Caribbean
25,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.6279939403538717,0.8183634404807378,Countries of Latin America and the Caribbean
26,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,0.5937362312927665,0.693872277086319,Countries of Latin America and the Caribbean
27,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.5795385960157535,0.7254511589108092,Countries of Latin America and the Caribbean
28,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,0.6124959532916383,0.7183630492532893,Countries of Latin America and the Caribbean
29,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.6149033697408147,0.8033370094695251,Countries of Latin America and the Caribbean
30,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,0.6013863989599795,0.7351525579061238,Countries of Latin America and the Caribbean
31,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.6026986802800349,0.759232798921182,Countries of Latin America and the Caribbean
32,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.5894116432565184,0.7208619346182196,Countries of Latin America and the Caribbean
33,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,0.5896796476308901,0.7411278892422987,Countries of Latin America and the Caribbean
34,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,0.5884482085088183,0.6698907665170146,Countries of Latin America and the Caribbean
35,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,0.6326912390344561,0.6577675056336191,Countries of Latin America and the Caribbean
36,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,0.6208627486325949,0.7159003985973912,Countries of Latin America and the Caribbean
37,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,0.5907653023587776,0.6793821171221294,Countries of Latin America and the Caribbean
38,EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,0.6119347311297004,0.6896905903797222,Countries of Latin America and the Caribbean
39,EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,0.6110951051258575,0.679328799314149,Countries of Latin America and the Caribbean
