,scenario,model,forest_change_2050,forest_change_2100,beccs_threshold_breached
0,EN_NPi2020_300f,AIM/CGE 2.2,0.07212545612916549,0.07721767525139128,1
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.02794706612362402,0.07290107049680794,0
2,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.05283504055787891,0.07372707254524646,0
3,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.028111647276200302,0.07331208141246737,0
4,SSP2_SPA2_19I_LI,IMAGE 3.2,0.03677686967510346,0.03873211565841861,0
5,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,0.026327575310521822,0.07065114993303145,1
6,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,0.028753166059542645,0.07182339857912828,1
7,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,0.02434873846371588,0.026390601513950618,0
8,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.012773371218820107,0.029328447420521042,0
9,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,0.028404430309981188,0.03876374596219373,0
10,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.01894959002159019,0.044268818037779045,0
11,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,0.0007736274385841124,0.0012056261732162898,0
12,EN_NPi2020_400f,WITCH 5.0,0.045669625529700775,0.0923944391071233,0
13,EN_NPi2020_450f,WITCH 5.0,0.04542624175973137,0.09242369095728659,0
14,EN_NPi2020_500f,WITCH 5.0,0.04482390572318384,0.0924604401429227,0
