,scenario,model,forest_change_2050,forest_change_2100,beccs_threshold_breached
0,SSP1_SPA1_19I_D,IMAGE 3.2,0.027962586900591058,0.07036873008417438,1
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.02794706612362402,0.07290107049680794,1
2,SSP1_SPA1_19I_LI,IMAGE 3.2,0.052678882738500965,0.07164415647641353,1
3,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.052720074435257225,0.07160975390682273,1
4,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.05283504055787891,0.07372707254524646,1
5,SSP1_SPA1_19I_RE,IMAGE 3.2,0.029532587386698728,0.07164144157189278,1
6,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.028111647276200302,0.07331208141246737,1
7,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.02029304791858244,0.06469797970073926,1
8,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.037292723820838036,0.04086218591800106,1
9,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.020321125370425908,0.06507359675957192,1
10,SSP2_SPA2_19I_D,IMAGE 3.2,0.019918938991999535,0.06089059142346426,1
11,SSP2_SPA2_19I_LI,IMAGE 3.2,0.03677686967510346,0.03873211565841861,1
12,SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.03627351127988654,0.036272740163315886,1
13,SSP2_SPA2_19I_RE,IMAGE 3.2,0.020990819392292304,0.06086473565465261,1
14,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.019595249028009243,0.05672257260558633,1
15,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.01925219919042409,0.05678806137819492,1
16,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.020076035086540267,0.05717739951340173,1
17,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.018911036657663083,0.057559612772509594,1
18,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.01837812178315007,0.05754982812710768,1
19,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.01904375864997121,0.05699209841033981,1
20,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.02799324442822504,0.0582640532951732,1
21,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.027529487338320946,0.058847767405601825,1
22,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,0.026691526027668777,0.058697212295407364,1
23,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.028930908159920554,0.05192225057360372,1
24,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,0.026517857508635445,0.058590753207406254,1
25,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.028467170829538535,0.05161105641099245,1
26,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,0.026207541908944698,0.058304966954547455,1
27,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.027912965387543176,0.05150643713639036,1
28,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,0.027235267640284888,0.05191028217794996,1
29,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.028764493872327657,0.05121896250149566,1
30,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,0.026984334868470017,0.05193547036649926,1
31,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.027263476724492086,0.051938854225683895,1
32,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.027478497524712042,0.05190069320568552,1
33,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,0.02767147081872756,0.05196451165089322,1
34,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,0.025458309529545864,0.057596773175853044,1
35,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,0.025450349577313736,0.05739176775534671,1
36,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,0.024531168570055772,0.05724575110652069,1
37,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,0.026307865546187248,0.05017655885972544,1
38,EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,0.02653694464828088,0.05538411216602995,1
39,EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,0.02611405464876132,0.0565840308502617,1
40,EN_NPi2020_600f_DR4p,MESSAGEix-GLOBIOM_1.1,0.025731649184626726,0.05727481086127373,1
41,EN_NPi2020_700,MESSAGEix-GLOBIOM_1.1,0.026844366585885404,0.05170116883554127,1
42,EN_NPi2020_700_COV,MESSAGEix-GLOBIOM_1.1,0.026656418009414984,0.05193798774199987,1
43,EN_NPi2020_700f,MESSAGEix-GLOBIOM_1.1,0.025202008147322874,0.05741173159323526,1
44,EN_NPi2020_700f_COV,MESSAGEix-GLOBIOM_1.1,0.022780134887541104,0.05696264504826948,1
45,NGFS2_Divergent Net Zero Policies,MESSAGEix-GLOBIOM_1.1,0.02604844549195673,0.047750775370293375,1
46,NGFS2_Net-Zero 2050,MESSAGEix-GLOBIOM_1.1,0.02720186147700604,0.050455393286197636,1
47,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,0.021106820861532205,0.056985790686267246,1
