,scenario,model,forest_change_2050,forest_change_2100,beccs_threshold_breached,region
0,SSP1_SPA1_19I_D,IMAGE 3.2,0.03440488271686515,0.08629842473317295,1,Countries of Latin America and the Caribbean
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.035060136164327516,0.08872894188545888,1,Countries of Latin America and the Caribbean
2,SSP1_SPA1_19I_LI,IMAGE 3.2,0.12680048498903684,0.15493050853244272,1,Countries of Latin America and the Caribbean
3,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.1268771895341511,0.15505962837024406,1,Countries of Latin America and the Caribbean
4,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.12698389836936902,0.1556803382795719,1,Countries of Latin America and the Caribbean
5,SSP1_SPA1_19I_RE,IMAGE 3.2,0.038040879453788645,0.08980300186682916,1,Countries of Latin America and the Caribbean
6,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.03519059120007517,0.08902078620665799,1,Countries of Latin America and the Caribbean
7,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.026869963825293053,0.10116574737648903,1,Countries of Latin America and the Caribbean
8,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.08363010300025958,0.08026238047140821,1,Countries of Latin America and the Caribbean
9,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.026879963134431695,0.10117763290341386,0,Countries of Latin America and the Caribbean
10,SSP2_SPA2_19I_D,IMAGE 3.2,0.026789138988204342,0.0988434164438286,1,Countries of Latin America and the Caribbean
11,SSP2_SPA2_19I_LI,IMAGE 3.2,0.08307964180254018,0.07908959913666402,1,Countries of Latin America and the Caribbean
12,SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.08303223006453836,0.07791762426906867,1,Countries of Latin America and the Caribbean
13,SSP2_SPA2_19I_RE,IMAGE 3.2,0.02759007740018876,0.10002794622294459,1,Countries of Latin America and the Caribbean
14,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.01940793404031238,0.08533607223139583,1,Countries of Latin America and the Caribbean
15,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.01687245945213134,0.08488796179303926,1,Countries of Latin America and the Caribbean
16,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.023512192116265873,0.08603213888048522,1,Countries of Latin America and the Caribbean
17,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.019030880533074723,0.08580436598411179,1,Countries of Latin America and the Caribbean
18,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.016520630532348368,0.08573476408639924,1,Countries of Latin America and the Caribbean
19,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.017080025331390525,0.08491782747968613,1,Countries of Latin America and the Caribbean
20,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.042418468495075745,0.08882703565211936,1,Countries of Latin America and the Caribbean
21,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.04162561837334955,0.08937676952976348,1,Countries of Latin America and the Caribbean
22,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,0.04139382433120192,0.08939626194998818,1,Countries of Latin America and the Caribbean
23,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.042072373176164635,0.08765734720688056,1,Countries of Latin America and the Caribbean
24,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,0.04139382433120192,0.08923655552209664,1,Countries of Latin America and the Caribbean
25,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.04223714015322089,0.08769446862654318,1,Countries of Latin America and the Caribbean
26,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,0.040944022495488175,0.08922768173281104,1,Countries of Latin America and the Caribbean
27,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.042586088632264874,0.08752801636806506,1,Countries of Latin America and the Caribbean
28,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,0.04255685308163981,0.08893615318501491,1,Countries of Latin America and the Caribbean
29,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.04204483094688455,0.08738557723093243,1,Countries of Latin America and the Caribbean
30,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,0.041794910853738765,0.09005882304473878,1,Countries of Latin America and the Caribbean
31,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.04221918282685799,0.08927387692698885,1,Countries of Latin America and the Caribbean
32,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.04256259488177788,0.08914386026649057,1,Countries of Latin America and the Caribbean
