model,scenario,environmental_score,environmental_score_2050
AIM/CGE 2.2,EN_NPi2020_300f,1.1608199598291367,1.062356467309374
AIM/CGE 2.2,EN_NPi2020_400f,1.1914202784517014,1.1469719364022757
AIM/CGE 2.2,EN_NPi2020_500f,1.2068656905576776,1.217756599617498
AIM/CGE 2.2,EN_NPi2020_600,0.1691446937087784,0.0
AIM/CGE 2.2,EN_NPi2020_600f,1.2177260631771123,1.3180327595307078
GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.8121353484911485,0.7942398771860913
GCAM 5.3,NGFS2_Net-Zero 2050,0.7470377979532544,0.8062494738028959
IMAGE 3.2,SSP1_SPA1_19I_D,1.2330802810045762,1.6331131530197203
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.20636262929693264,0.6333137420524548
IMAGE 3.2,SSP1_SPA1_19I_LI,1.2196237970514,1.313682116452143
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.2199867639999151,1.313149758914463
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.19764783134564595,0.311663947773504
IMAGE 3.2,SSP1_SPA1_19I_RE,1.2196524408597302,1.6128226173351714
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.20202622711425489,0.6311867110235455
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2929099677677538,0.7322335391441172
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.5443913378415788,0.5125313584297447
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.2889469911855871,0.7318706688497428
IMAGE 3.2,SSP2_SPA2_19I_D,1.3330801097441265,1.7370684870259216
IMAGE 3.2,SSP2_SPA2_19I_LI,0.5668648074526987,0.5191982079273522
IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.5928126372028601,1.5257035635438887
IMAGE 3.2,SSP2_SPA2_19I_RE,1.3333529030156375,1.723215607549668
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.37705511189289104,0.7412518250714777
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.376364167575694,0.7456853682663324
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.37225642572508694,0.7350381921690815
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.3682238554261099,0.7500945201146735
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.3683270890777258,0.7569818608345102
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.37421145922214394,0.7483792338170684
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.3607916016740539,0.6327169380733163
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.3546330811917902,0.6387104902186346
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.3562215244267181,0.649540221818408
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.4277012775881487,0.6205986619476553
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.357344729198137,0.6517846970997272
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.4309845554636748,0.6265919587228055
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.3603599389734977,0.6557951861439749
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.4320883491427475,0.6337544566945466
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.427827551064251,0.6425129573738513
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.43512137232224596,0.6227493842376807
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.4275618011494886,0.6457559884467613
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.4275260994836815,0.642148385875435
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.4279287202514252,0.6393694776786608
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.4272553988515549,0.6368755093372281
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.3678317917411116,0.6654781935473039
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.3699947171503263,0.6655810672064154
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.37153527700057,0.6774604743743496
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.4461193318780196,0.654498613079516
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.3911766413958448,0.6515380167378306
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.37851680730605974,0.6570034065270798
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.3712286798296962,0.6619455780643805
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.43003381741849933,0.6475649251048184
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.42753524138623294,0.6499939544786816
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.36978408714782274,0.6687906080261604
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.3745222091772014,0.7000906657241583
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.4717127465964603,0.6578513329762475
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.44317746788002843,0.6429446954236737
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,1.446364067193251,1.744661113892597
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,1.4463632413826657,1.7446216624780115
