model,scenario,environmental_score,environmental_score_2050,Region
IMAGE 3.2,SSP1_SPA1_19I_D,1.5429942279781677,1.6652201433745022,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.5322972085147781,1.6605118648386439,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LI,1.2409355753480937,1.0013179042172944,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.2403673022886867,1.000766748989095,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.2376354779216157,1.0,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE,1.5275701320097799,1.6390939391413073,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.5310127640165319,1.6595744891604483,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_D_LB,1.477561223510592,1.7193617843288718,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,1.5695596372735725,1.311515711935395,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.47750891377365884,0.7192899349814583,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_D,1.4877821014680817,1.7199425456313917,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LI,1.574721199187365,1.315471012975141,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.5798792117352216,1.315811686754495,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_RE,1.4825688331353524,1.714187457812633,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.5472296654579933,1.772979685625875,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.549201857292287,1.7911981637246597,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.544166186360089,1.7434888217785027,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.5451686442540598,1.7756889776439055,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.5454749711828037,1.79372620620612,Countries of Latin America and the Caribbean
