model,scenario,final_energy_demand
AIM/CGE 2.2,EN_NPi2020_300f,35657.1725
IMAGE 3.2,SSP1_SPA1_19I_D_LB,28151.51271875
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,29308.771781249994
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,28487.826812499996
IMAGE 3.2,SSP2_SPA2_19I_LI,30614.867812500004
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,48787.50845000001
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,47671.984899999996
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,43717.8389
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,30615.853049999998
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,27668.774599999997
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,31112.962450000003
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,35445.899900000004
WITCH 5.0,EN_NPi2020_400f,33962.55254498377
WITCH 5.0,EN_NPi2020_450f,34286.14481645569
WITCH 5.0,EN_NPi2020_500f,34614.65540815449
