,model,scenario,final_energy_demand,energy_per_gdp,region
0,AIM/CGE 2.2,EN_NPi2020_400f,2454.5163,6.918381760702081e-05,Countries of Latin America and the Caribbean
1,AIM/CGE 2.2,EN_NPi2020_500f,2470.7320999999997,6.954117564403175e-05,Countries of Latin America and the Caribbean
2,AIM/CGE 2.2,EN_NPi2020_600f,2485.2039999999997,6.985320572620865e-05,Countries of Latin America and the Caribbean
3,GCAM 5.3,NGFS2_Divergent Net Zero Policies,2363.612973866,6.951419894574804e-05,Countries of Latin America and the Caribbean
4,GCAM 5.3,NGFS2_Net-Zero 2050,2421.6013226340006,6.908001418152406e-05,Countries of Latin America and the Caribbean
5,IMAGE 3.2,SSP1_SPA1_19I_D,2163.1404838867193,5.12327665907368e-05,Countries of Latin America and the Caribbean
6,IMAGE 3.2,SSP1_SPA1_19I_LI,1938.5113388671873,4.591255154137289e-05,Countries of Latin America and the Caribbean
7,IMAGE 3.2,SSP1_SPA1_19I_LIRE,2280.912918945313,6.327341508835403e-05,Countries of Latin America and the Caribbean
8,IMAGE 3.2,SSP1_SPA1_19I_RE,2182.872721435547,5.1700113546786377e-05,Countries of Latin America and the Caribbean
9,IMAGE 3.2,SSP2_SPA2_19I_D,2514.0269516601566,6.974008938896993e-05,Countries of Latin America and the Caribbean
10,IMAGE 3.2,SSP2_SPA2_19I_LIRE,2588.4548117675786,7.180474729309213e-05,Countries of Latin America and the Caribbean
11,IMAGE 3.2,SSP2_SPA2_19I_RE,2500.7649208984376,6.937219547669871e-05,Countries of Latin America and the Caribbean
12,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,2724.1652186132637,6.476989164404797e-05,Countries of Latin America and the Caribbean
13,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,2756.9751041917925,6.5489577972494e-05,Countries of Latin America and the Caribbean
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,3152.2568625948406,6.59220325632682e-05,Countries of Latin America and the Caribbean
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,2820.0386811461244,6.611101501754698e-05,Countries of Latin America and the Caribbean
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,2847.8702469818777,6.671736300776173e-05,Countries of Latin America and the Caribbean
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,3163.7337328618264,6.60710438686582e-05,Countries of Latin America and the Caribbean
18,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,3079.489363004704,6.42492736970117e-05,Countries of Latin America and the Caribbean
19,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,3130.4401924778763,6.495490827959703e-05,Countries of Latin America and the Caribbean
20,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,3196.992500900345,6.601153995865483e-05,Countries of Latin America and the Caribbean
21,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,3228.0895030558427,6.654998210928469e-05,Countries of Latin America and the Caribbean
22,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,3249.8352034934996,6.6892661079429e-05,Countries of Latin America and the Caribbean
23,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,3310.6087991259783,6.783751743103952e-05,Countries of Latin America and the Caribbean
24,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,3245.160177254015,6.692036141314684e-05,Countries of Latin America and the Caribbean
25,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,3269.1234561929746,6.714766723541045e-05,Countries of Latin America and the Caribbean
26,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,2917.2554325001706,6.741516120604042e-05,Countries of Latin America and the Caribbean
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,3054.9280310288596,6.635008294352992e-05,Countries of Latin America and the Caribbean
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,3392.855549161308,6.916585305849105e-05,Countries of Latin America and the Caribbean
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,3343.043814159799,6.820009939401185e-05,Countries of Latin America and the Caribbean
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,3324.201418595738,6.79163415021334e-05,Countries of Latin America and the Caribbean
31,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,3298.7644225478452,6.755002606638564e-05,Countries of Latin America and the Caribbean
32,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,3368.987429028634,6.886508383629035e-05,Countries of Latin America and the Caribbean
33,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,2981.640861535396,6.854496151172283e-05,Countries of Latin America and the Caribbean
34,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,3298.0739277502303,6.76116847248924e-05,Countries of Latin America and the Caribbean
35,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,2955.3177684431907,6.817475970737625e-05,Countries of Latin America and the Caribbean
36,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,3840.15587704986,7.713840404123242e-05,Countries of Latin America and the Caribbean
37,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,3839.8821715148197,7.713290603312383e-05,Countries of Latin America and the Caribbean
38,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,3749.336025684613,7.531408060554416e-05,Countries of Latin America and the Caribbean
39,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,3727.297249091135,7.4871380835388e-05,Countries of Latin America and the Caribbean
40,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,3755.673553778375,7.54413845064012e-05,Countries of Latin America and the Caribbean
41,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,3715.0429522064906,7.462522495685059e-05,Countries of Latin America and the Caribbean
42,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,3710.0698443332926,7.452532858995888e-05,Countries of Latin America and the Caribbean
43,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,3703.745107701288,7.439828163517849e-05,Countries of Latin America and the Caribbean
44,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,3699.885819501691,7.432075891100723e-05,Countries of Latin America and the Caribbean
45,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,3707.528315209887,7.447427610281175e-05,Countries of Latin America and the Caribbean
46,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,3835.6735369383196,7.704836588297936e-05,Countries of Latin America and the Caribbean
47,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,4371.528,0.00014341487277421146,Countries of Latin America and the Caribbean
48,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,4260.27185,0.00014213879574224666,Countries of Latin America and the Caribbean
49,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,4385.21775,0.00014339599707430812,Countries of Latin America and the Caribbean
50,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,4325.726699999999,0.00014165550270034405,Countries of Latin America and the Caribbean
51,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,4307.40525,0.00014152766776842006,Countries of Latin America and the Caribbean
52,REMIND-MAgPIE 1.7-3.0,CO_Bridge,4133.308300000001,0.0001362885271000956,Countries of Latin America and the Caribbean
53,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,4188.6575,0.00014018092597794634,Countries of Latin America and the Caribbean
54,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,4074.3051999999993,0.00013616994137363405,Countries of Latin America and the Caribbean
55,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,4010.7822499999997,0.00013391398996516037,Countries of Latin America and the Caribbean
56,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,4307.40525,0.00014152766776842006,Countries of Latin America and the Caribbean
57,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,4325.726699999999,0.00014165550270034405,Countries of Latin America and the Caribbean
58,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,4223.4959,0.00013892018465140227,Countries of Latin America and the Caribbean
59,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,4173.567349999999,0.0001373345080518162,Countries of Latin America and the Caribbean
60,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,4113.035449999999,0.00014056427039621478,Countries of Latin America and the Caribbean
61,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,3966.0405499999997,0.00013470155489427174,Countries of Latin America and the Caribbean
62,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,3914.9748,0.00013242753779588203,Countries of Latin America and the Caribbean
63,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,4217.36875,0.00013346456307965942,Countries of Latin America and the Caribbean
64,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,4099.52025,0.0001295752878665996,Countries of Latin America and the Caribbean
65,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,4061.4394,0.00012825693665044664,Countries of Latin America and the Caribbean
66,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,3139.8809499999998,0.00011191028928410069,Countries of Latin America and the Caribbean
67,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,3158.19065,0.0001124464256134629,Countries of Latin America and the Caribbean
68,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,3953.4774500000003,0.00012472963992318778,Countries of Latin America and the Caribbean
69,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,3319.7644,0.00011689105388688926,Countries of Latin America and the Caribbean
70,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,3317.6274500000004,0.00011681047958098166,Countries of Latin America and the Caribbean
71,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,3952.60555,0.00012471918390383473,Countries of Latin America and the Caribbean
72,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,3880.61315,0.00012248586759214939,Countries of Latin America and the Caribbean
73,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,3837.2416499999995,0.00012099338164149273,Countries of Latin America and the Caribbean
74,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,2758.0192500000003,8.582254805111456e-05,Countries of Latin America and the Caribbean
75,WITCH 5.0,EN_INDCi2030_500f,2371.6955970608506,6.908918017152055e-05,Countries of Latin America and the Caribbean
76,AIM/CGE 2.2,EN_NPi2020_400f,2635.2077000000004,7.427684585896491e-05,Countries of South Asia; primarily India
77,AIM/CGE 2.2,EN_NPi2020_500f,2640.2601999999997,7.43127101129849e-05,Countries of South Asia; primarily India
78,AIM/CGE 2.2,EN_NPi2020_600f,2645.5094999999997,7.4359014130888e-05,Countries of South Asia; primarily India
79,GCAM 5.3,NGFS2_Divergent Net Zero Policies,3407.31227905,0.0001002095462561122,Countries of South Asia; primarily India
80,GCAM 5.3,NGFS2_Net-Zero 2050,3545.9166865800003,0.00010115289114932116,Countries of South Asia; primarily India
81,IMAGE 3.2,SSP1_SPA1_19I_D,3668.5017792968747,8.68864028002085e-05,Countries of South Asia; primarily India
82,IMAGE 3.2,SSP1_SPA1_19I_LI,3228.19554296875,7.645799706221764e-05,Countries of South Asia; primarily India
83,IMAGE 3.2,SSP1_SPA1_19I_LIRE,3787.019210937501,0.00010505339177613933,Countries of South Asia; primarily India
84,IMAGE 3.2,SSP1_SPA1_19I_RE,3703.3099062499996,8.771081372355543e-05,Countries of South Asia; primarily India
85,IMAGE 3.2,SSP2_SPA2_19I_D,4222.349720703125,0.00011712963011747931,Countries of South Asia; primarily India
86,IMAGE 3.2,SSP2_SPA2_19I_LIRE,4209.930685546876,0.00011678512123250112,Countries of South Asia; primarily India
87,IMAGE 3.2,SSP2_SPA2_19I_RE,4202.565019531249,0.00011658079478086944,Countries of South Asia; primarily India
88,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,6016.108792200626,0.00014303931051142218,Countries of South Asia; primarily India
89,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,6034.444782935277,0.00014334305795213204,Countries of South Asia; primarily India
90,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,5745.845675973997,0.00012016083785864878,Countries of South Asia; primarily India
91,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,6349.850646741782,0.00014886145862911092,Countries of South Asia; primarily India
92,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,6367.036065209023,0.00014916123966541247,Countries of South Asia; primarily India
93,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,5772.006004431045,0.00012054189578841457,Countries of South Asia; primarily India
94,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,5685.594162178587,0.00011862203514790511,Countries of South Asia; primarily India
95,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,5814.370313721592,0.00012064497872820068,Countries of South Asia; primarily India
96,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,5941.182363439685,0.0001226736055450257,Countries of South Asia; primarily India
97,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,5995.5456025194435,0.0001236035903606007,Countries of South Asia; primarily India
98,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,6057.904710131061,0.0001246922816857486,Countries of South Asia; primarily India
99,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,6289.502852896593,0.00012887788479526408,Countries of South Asia; primarily India
100,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,6124.385080737026,0.0001262945557846113,Countries of South Asia; primarily India
101,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,6143.950325436859,0.00012619649808017934,Countries of South Asia; primarily India
102,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,6693.498230764676,0.0001546807513775435,Countries of South Asia; primarily India
103,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,5313.536181916242,0.00011540486807306376,Countries of South Asia; primarily India
104,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,6425.217330378505,0.0001309827758071469,Countries of South Asia; primarily India
105,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,6376.686738944149,0.00013008823502654826,Countries of South Asia; primarily India
106,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,6301.870130422928,0.00012875271681362196,Countries of South Asia; primarily India
107,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,6230.290258832694,0.00012757997100630879,Countries of South Asia; primarily India
108,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,6376.09432009906,0.00013033300929481877,Countries of South Asia; primarily India
109,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,6911.776423760691,0.00015889487397900204,Countries of South Asia; primarily India
110,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,6232.423740090169,0.00012776689613939532,Countries of South Asia; primarily India
111,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,6786.573217919123,0.0001565560912970382,Countries of South Asia; primarily India
