model,scenario,flexibility_score
AIM/CGE 2.2,EN_NPi2020_400f,36.72820671869704
AIM/CGE 2.2,EN_NPi2020_500f,36.86555157783019
AIM/CGE 2.2,EN_NPi2020_600f,37.00249251261081
GCAM 5.3,NGFS2_Divergent Net Zero Policies,35.64659475281112
GCAM 5.3,NGFS2_Net-Zero 2050,35.92827216425387
IMAGE 3.2,SSP1_SPA1_19I_D,37.54869249399504
IMAGE 3.2,SSP1_SPA1_19I_LI,37.50081386228699
IMAGE 3.2,SSP1_SPA1_19I_LIRE,37.21084430167603
IMAGE 3.2,SSP1_SPA1_19I_RE,36.49854025198012
IMAGE 3.2,SSP2_SPA2_19I_D,38.627786105324866
IMAGE 3.2,SSP2_SPA2_19I_LIRE,37.08804065601312
IMAGE 3.2,SSP2_SPA2_19I_RE,36.99656727202701
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,36.34657377725885
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,36.28519138280575
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,36.24227686348585
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,36.37562855141375
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,36.33778635181024
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,36.21027557983726
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,35.98017029144065
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,36.07850528271439
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,36.27941760122833
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,36.3493323953523
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,36.40353713362748
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,36.20416368717274
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,34.83334345988162
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,36.45374516265568
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,36.69320209347979
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,34.251508653211744
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,36.442274285273776
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,36.47905777987263
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,36.492611295626986
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,36.472227842501546
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,36.4481249682903
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,36.66431068977282
