model,scenario,flexibility_score,region
AIM/CGE 2.2,EN_NPi2020_300f,36.42976445064264,Countries of Latin America and the Caribbean
AIM/CGE 2.2,EN_NPi2020_400f,36.46618391493243,Countries of Latin America and the Caribbean
AIM/CGE 2.2,EN_NPi2020_500f,36.57270883254687,Countries of Latin America and the Caribbean
AIM/CGE 2.2,EN_NPi2020_600,36.59327165420992,Countries of Latin America and the Caribbean
AIM/CGE 2.2,EN_NPi2020_600f,36.67824957851508,Countries of Latin America and the Caribbean
GCAM 5.3,NGFS2_Divergent Net Zero Policies,34.771107016520865,Countries of Latin America and the Caribbean
GCAM 5.3,NGFS2_Net-Zero 2050,35.01700173643311,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_D,36.70327413512677,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_D_LB,35.689739355725465,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LI,36.70264927008496,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE,36.563286643816255,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,34.46832641142427,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE,35.34200175213393,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,34.33164355062956,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_D_LB,37.57835883682553,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,34.68814610787422,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,34.511458917667554,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_D,37.93675515223318,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LI,37.41313495377539,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LIRE,36.007404167248026,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_RE,35.679224837082664,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,34.52162084600289,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,34.59798504144017,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,34.26234920156885,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,34.35978256244623,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,34.49100632167434,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,34.26106180088489,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,34.05469336109427,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,34.07220477080912,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,34.27879502405759,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,34.63958184595863,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,34.35986126952428,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,34.542633994736015,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,34.42042754035832,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,34.535735250205775,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,34.77610043257968,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,34.82915975692727,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,33.537256485503974,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,33.78288774505967,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,34.001690604388095,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,34.26942534560306,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,34.353079838836635,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,34.51960515197194,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,34.377369703264904,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,33.81773061692644,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,33.86155076334148,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,34.02500794935784,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,34.18675529279086,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,34.787225478342535,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,34.99732096591918,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,34.40655131350182,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,34.64081224663229,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,34.66992688891357,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,34.716068988813085,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,36.2645039881651,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,36.24536314237483,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,36.08417730193581,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,36.016519291718836,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,35.999853250186845,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,36.014970495505075,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,36.03965770641895,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,36.034859386143005,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,36.048447329968695,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,36.05105498491024,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,36.2652296134765,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,34.88006657154368,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,34.563623984015436,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,34.82880166822821,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,34.49547994479574,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,34.88050087703975,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,34.93691596086842,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CO_Bridge,34.17577704938125,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,34.54959721445049,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,34.54719891915448,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,34.66679735906282,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,34.644783892356784,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,31.95492515198806,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,34.93691596086842,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,34.88050087703975,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,34.99582328873666,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,34.99629709066799,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,32.71736003533445,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,33.365740692678244,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,32.917093773508725,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,32.992612732140344,Countries of Latin America and the Caribbean
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,34.77554914908512,Countries of Latin America and the Caribbean
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,33.889853321839134,Countries of Latin America and the Caribbean
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,34.19972012984225,Countries of Latin America and the Caribbean
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,32.92405647709128,Countries of Latin America and the Caribbean
