model,scenario,ssp_gini_coefficient,ssp
AIM/CGE 2.2,EN_NPi2020_300f,0.3498976646875,2
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.28901663075,1
IMAGE 3.2,SSP2_SPA2_19I_LI,0.3498976646875,2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.3498976646875,2
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.3498976646875,2
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.3498976646875,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.28901663075,1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.3498976646875,2
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.3498976646875,2
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.3498976646875,2
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.3498976646875,2
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.28901663075,1
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3498976646875,2
WITCH 5.0,EN_NPi2020_400f,0.3498976646875,2
WITCH 5.0,EN_NPi2020_450f,0.3498976646875,2
WITCH 5.0,EN_NPi2020_500f,0.3498976646875,2
