,model,scenario,ssp_gini_coefficient,ssp,region
0,AIM/CGE 2.2,EN_NPi2020_300f,0.3191128638142811,2,Countries of Latin America and the Caribbean
1,AIM/CGE 2.2,EN_NPi2020_400f,0.3191128638142811,2,Countries of Latin America and the Caribbean
2,AIM/CGE 2.2,EN_NPi2020_500f,0.3191128638142811,2,Countries of Latin America and the Caribbean
3,AIM/CGE 2.2,EN_NPi2020_600,0.3191128638142811,2,Countries of Latin America and the Caribbean
4,AIM/CGE 2.2,EN_NPi2020_600f,0.3191128638142811,2,Countries of Latin America and the Caribbean
5,GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.3191128638142811,2,Countries of Latin America and the Caribbean
6,GCAM 5.3,NGFS2_Net-Zero 2050,0.3191128638142811,2,Countries of Latin America and the Caribbean
7,IMAGE 3.2,SSP1_SPA1_19I_D,0.2955410778250738,1,Countries of Latin America and the Caribbean
8,IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.2955410778250738,1,Countries of Latin America and the Caribbean
9,IMAGE 3.2,SSP1_SPA1_19I_LI,0.2955410778250738,1,Countries of Latin America and the Caribbean
10,IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.2955410778250738,1,Countries of Latin America and the Caribbean
11,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.2955410778250738,1,Countries of Latin America and the Caribbean
12,IMAGE 3.2,SSP1_SPA1_19I_RE,0.2955410778250738,1,Countries of Latin America and the Caribbean
13,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.2955410778250738,1,Countries of Latin America and the Caribbean
14,IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.3191128638142811,2,Countries of Latin America and the Caribbean
15,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3191128638142811,2,Countries of Latin America and the Caribbean
16,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.3191128638142811,2,Countries of Latin America and the Caribbean
17,IMAGE 3.2,SSP2_SPA2_19I_D,0.3191128638142811,2,Countries of Latin America and the Caribbean
18,IMAGE 3.2,SSP2_SPA2_19I_LI,0.3191128638142811,2,Countries of Latin America and the Caribbean
19,IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.3191128638142811,2,Countries of Latin America and the Caribbean
20,IMAGE 3.2,SSP2_SPA2_19I_RE,0.3191128638142811,2,Countries of Latin America and the Caribbean
21,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
22,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.3191128638142811,2,Countries of Latin America and the Caribbean
23,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.3191128638142811,2,Countries of Latin America and the Caribbean
24,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.3191128638142811,2,Countries of Latin America and the Caribbean
25,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.3191128638142811,2,Countries of Latin America and the Caribbean
26,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.3191128638142811,2,Countries of Latin America and the Caribbean
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.3191128638142811,2,Countries of Latin America and the Caribbean
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.3191128638142811,2,Countries of Latin America and the Caribbean
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.3191128638142811,2,Countries of Latin America and the Caribbean
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.3191128638142811,2,Countries of Latin America and the Caribbean
