model,scenario,shannon_index
IMAGE 3.2,SSP1_SPA1_19I_D,0.8554804699763439
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.8701981412555209
IMAGE 3.2,SSP1_SPA1_19I_LI,0.855865163215257
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.8764246644636071
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.9320549304861865
IMAGE 3.2,SSP1_SPA1_19I_RE,0.860259242239231
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.8525704763696795
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.9374293915939216
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.9356062776447087
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.9388388139466866
IMAGE 3.2,SSP2_SPA2_19I_D,0.838195697217443
IMAGE 3.2,SSP2_SPA2_19I_LI,0.8919755334580766
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.8838047452908189
IMAGE 3.2,SSP2_SPA2_19I_RE,0.8681994353305734
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.8672664631109005
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.8601653584497557
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.8517020770471065
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.8673660371347918
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.8608054923126875
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.8462694303706779
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.8847069581003555
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.8898535669000334
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.8965155269905485
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.8960687667141052
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.8988589810499776
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.8836807227549033
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.9036582211907325
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.8728745681204915
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.9025864973011135
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.797812920515344
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.9042172912310942
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.8944097770939159
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.8866974646872441
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.8822905940261403
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.9067909954022539
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.9270841792857267
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.8238309766993459
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.9099090665072518
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.9128426154877147
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.9097824330135088
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.9089595035197606
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.8894075080210895
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.9129895438993152
