scenario,model,Nd,Dy,Cd,Te,Se,In
EN_NPi2020_300f,AIM/CGE 2.2,1.0574730585237475,0.2494331882696449,0.7611648670684157,0.456095169803707,0.46834793186832085,0.39181380298897595
SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.5873761697226478,0.24814077253585295,1.204138772339601,0.7146095019017117,0.7220675104889117,0.604435536275283
SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.6924813762572185,0.1731796943485383,0.8272725400987065,0.4667943236129701,0.48592655955346276,0.3848545583940574
SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.76763309678717,0.2843302221568191,1.6389092678594583,0.9507772834863929,0.9736740105455385,0.7952046674300627
SSP2_SPA2_19I_LI,IMAGE 3.2,0.20117368915243103,0.05261838635797866,0.2552570663515829,0.14213834623441865,0.1435495420273706,0.11401874131157537
CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,0.7102330252696643,0.19224344659465573,1.4114225326215688,0.7745391552606565,0.8122153175100192,0.6258754722182541
PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,0.803993361827112,0.20538108037357608,1.5122590692960536,0.8232598621916725,0.869630185335348,0.6631747736020885
PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,1.0282835600033773,0.2548708062882962,1.8023071836488727,0.9759068994140088,1.0357312770622915,0.7843958019490526
CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,1.47810978360962,0.32537284786003734,1.1908313492527889,0.6853446128186448,0.6993797186800744,0.5684561141173895
EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,1.989271742269711,0.5142689018847645,1.3741330295472454,0.8224080063529003,0.8365700318473458,0.7025252446891069
EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,1.9321926743683138,0.5015559144801969,1.3414034674553292,0.8037442033894471,0.816581082499892,0.6867662103243003
EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,1.8771333708906521,0.4814685114131712,1.3061524528256188,0.782320878135689,0.7941235440760486,0.6679728548418261
SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,1.3586364077201767,0.4035959702432865,1.2460503536286596,0.7627213355170864,0.7634856683454898,0.6574610860119079
SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,1.64611857802997,0.46610687452051747,1.3225861055645338,0.8016280302588514,0.8073121140541479,0.6879613042443916
DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,1.3153718571711412,0.44950209681405573,1.063392953146166,0.6571654898286899,0.6548805082611364,0.5692402509520159
EN_NPi2020_400f,WITCH 5.0,1.306298801814074,0.2200878116835391,0.37215007957753937,0.2117374972020012,0.21679768905203767,0.17426550712509037
EN_NPi2020_450f,WITCH 5.0,1.2961193342621644,0.2190334912723418,0.36818234410464656,0.20957409134053226,0.21455631949707268,0.1725387618277395
EN_NPi2020_500f,WITCH 5.0,1.2886861438383381,0.21822864691613433,0.36274349658878635,0.20630581389228894,0.2113083428877743,0.16977043997077965
