scenario,model,Nd,Dy,Ni,Mn,Ag,Cd,Te,Se,In
SSP1_SPA1_19I_D,IMAGE 3.2,0.10420995890761899,0.037836448109959606,0.1230150474192815,0.23313058862137645,0.24831744162080938,0.49382676715039797,0.14837165182287454,1.366990233559531,0.433643777214407
SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.317824439449329,0.1218468569824665,0.2614519117628469,0.3231174356083672,0.40150205414446477,1.8313391298662742,0.5412455831318899,1.639448082011513,1.6081526366388594
SSP1_SPA1_19I_LI,IMAGE 3.2,0.11239716832559468,0.040652122288367794,0.1381788917236351,0.19214821790421024,0.24450052438922593,0.673358856908457,0.19900874787241246,1.345978062429614,0.5912961741938726
SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.05896069525988391,0.031017122457708723,0.07369156096504338,0.18443581400898926,0.23814150132978723,0.4247948770340712,0.13015804429474806,1.3109715708980736,0.37302484853414597
SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.18603139795034612,0.0713203213056182,0.15293721060033924,0.26345719364044273,0.4042131065567428,0.9871026720346109,0.2917345851586931,2.2251975750603914,0.8668038261060018
SSP1_SPA1_19I_RE,IMAGE 3.2,0.12553956954538686,0.0454014572585156,0.15463138069877932,0.21483087756542568,0.7392501833156301,0.738551771509072,0.17993782590156956,4.069580349062657,0.6074879714611356
SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.3516916343283676,0.1348307900556229,0.2896848739404634,0.3575486492039109,0.533149124162661,2.3498602121266394,0.694492592905925,2.934991762979327,2.0634812166876735
SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.1292434086730873,0.04954906287194709,0.10593730118330458,0.13139580723272273,0.16292711598854726,0.4131783676967985,0.13481874525097629,0.8969155564934783,0.36282405076020274
SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.1879100297013722,0.07204054714692419,0.15445793302599295,0.22204581250429936,0.603933787594595,0.9765049610017391,0.28860247041582254,3.3246621097969764,0.8574976650231587
SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.19006871385498675,0.07286813888213346,0.15623699276038727,0.245762086937223,0.5966792189202627,0.9917726309621219,0.2931147744429724,3.2847256298551333,0.8709046540956383
SSP2_SPA2_19I_D,IMAGE 3.2,0.09444296872827292,0.03564685799699146,0.09089889707462476,0.11488180335179786,0.0967864083844766,0.31521586250732175,0.11949044533904725,0.5328102373288802,0.27680029991963145
SSP2_SPA2_19I_LI,IMAGE 3.2,0.09858379656744834,0.037003428784913237,0.0949402861184679,0.12862154728611444,0.11828667844063649,0.3574273425886719,0.11372747940562862,0.651169459274086,0.29399809149502454
SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.17096202612578582,0.06438981172838666,0.16825748616167063,0.21262751431197555,0.37334958420842584,0.8990687777001208,0.265716489603709,2.055293546781051,0.7894986798451153
