,Nd,Dy,Ni,Mn,Ag,Cd,Te,Se,In
2016,17606.0,300.0,2090000.0,15700000.0,25700.0,25744.0,408.0,3618.0,798.0
2017,20309.86,352.79999999999995,3414000.0,25621000.0,37080.0,29270.199999999997,434.0799999999999,3754.1800000000003,799.98
2018,28778.158600000002,1078.628,5772400.0,41500130.0,53112.0,36753.485,557.4207999999999,3780.7218000000003,813.9798000000001
2019,43622.601586000004,2617.68628,8961440.0,62137068.900000006,70604.8,43635.259875,774.7342079999999,3886.1672180000005,878.0997980000002
2020,60152.30601586,4099.6768628,12548864.0,84595646.517,85681.92000000001,48131.77047812501,1005.98734208,3989.40167218,906.7209979800002
2021,82367.66306015861,5777.496768628,16595318.399999999,109219692.65401,101292.76800000001,52379.859833671886,1274.3798734207999,4208.6140167218,1048.9872099798004
2022,107459.87663060159,7597.2749676862795,21457191.04,134691437.10662532,117717.10720000003,54484.47547089259,1547.1437987342078,4728.986140167217,1160.3898720997984
2023,139630.85876630602,9768.472749676863,27138314.623999998,160812461.66651142,134866.84288,56613.983207406214,1875.9514379873417,5552.369861401672,1361.4838987209982
2024,179829.1636058391,13244.565121388961,30285009.51438886,174780808.46544975,146417.14922244725,59907.56156398103,2274.5570251315016,6641.623236408766,1654.3305770246716
2025,229589.22615268503,18752.40131796938,33852650.176067434,167657660.3173016,158961.15806582398,64798.4964775486,2751.4974641136796,8011.539680657457,2046.250118435235
2026,288911.0464068439,26291.98133941811,37841236.609035715,160662438.0950794,172498.86941013025,71286.78794810895,3306.7727549338765,9662.119194147743,2537.2425229526884
2027,357794.6243683155,35863.30518573516,42250768.81329371,153795141.7987831,187030.28325536606,79372.43597566207,3940.3828975920915,11593.361776879625,3127.307790577032
2028,436239.9600371,47466.37285692052,47081246.788841404,147055771.42841274,202555.39960153136,89055.44056020796,4652.327892088325,13805.267428853102,3816.4459213082655
2029,524247.0534131974,61101.1843529742,52332670.53567881,140444326.9839683,219074.2184486262,100335.80170174662,5442.607738422577,16297.836150068175,4604.65691514639
2030,509053.7274872714,76767.7396738962,58005040.053805925,133960808.46544978,236586.73979665054,113213.51940027805,6311.222436594849,19071.067940524845,5491.940772091405
2031,494179.91785764176,94466.03881968652,64098355.34322275,127605215.87285718,255092.96364560444,127688.59365580222,7258.171986605138,22124.962800223107,6478.29749214331
2032,479625.6245243084,114196.08179034515,70612616.4039293,121377549.20619053,274592.8899954878,143761.02446831917,8283.456388453445,25459.520729162967,7563.727075302104
2033,465390.8474872714,135957.8685858721,77547823.23592553,115277808.46544978,295086.5188463007,161430.8118378289,9387.075642139771,29074.741727344423,8748.22952156779
2034,451475.58674653067,159751.39920626735,84903975.83921148,109305993.65063496,316573.85019804316,180697.9557643314,10569.029747664115,32970.625794767475,10031.804830940364
2035,437879.84230208624,185576.67365153096,92681074.21378714,103462104.76174606,339054.88405071513,201562.45624782666,11829.318705026477,37147.17293143212,11414.453003419829
2036,424603.6141539381,213433.69192166286,100879118.35965252,97746141.79878311,362529.62040431664,224024.3132883147,13167.94251422686,41604.383137338365,12896.174039006186
2037,411646.90230208624,243322.45401666308,109498108.27680759,92158104.76174608,386998.0592588476,248083.52688579547,14584.90117526526,46342.256412486204,14476.967937699432
2038,399009.70674653066,275242.9599365316,118538043.96525238,86697993.65063497,412460.2006143081,273740.097040269,16080.19468814168,51360.79275687564,16156.834699499566
2039,386692.0274872714,309195.2096812685,127998925.42498688,81365808.4654498,438916.0444706981,300994.02375173534,17653.823052856118,56659.99217050667,17935.774324406593
2040,230231.2215165527,332604.233463813,128175498.43554604,25790398.841751665,403189.93070792337,305617.05457578925,17708.736145716288,51200.27623998455,18963.127472449836
2041,38586.89406667958,353378.6232364725,127752900.45514925,0.0,363127.04050811165,262250.92524068966,17516.18162000062,44791.07050786655,19786.51528334536
2042,0.0,370481.1868137585,115312396.30456834,0.0,318471.56548334437,214921.43564038747,17045.77342630118,37311.205242931625,20359.83861935632
2043,0.0,382985.34917398106,101711147.23223639,0.0,226946.53307080056,162889.96990567338,16271.39041269898,28654.79125883966,20642.392309737243
2044,0.0,345781.5169235035,86883557.24712741,0.0,129580.21376030004,105475.59448745169,15171.176324763985,18731.21991413148,20598.865150734033
2045,0.0,300431.68552355375,70771046.1210702,0.0,26183.045997319452,42055.058156740386,13727.53980555513,7465.163112228842,20199.339905583958
2046,0.0,246341.13144383696,53322049.38874845,0.0,0.0,0.0,11927.15439562031,0.0,19419.29330451568
2047,0.0,183025.7483178567,34492018.347700655,0.0,0.0,0.0,7334.438020244455,0.0,18239.596044749214
2048,0.0,110112.04694291492,14243420.058320105,0.0,0.0,0.0,2300.1841203117183,0.0,16646.512790495974
2049,0.0,27337.15528011197,0.0,0.0,0.0,0.0,0.0,0.0,14631.702172958725
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12192.216790331633
2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9330.503207800215
2052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6054.401957541377
2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2377.147538723395
2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
