model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score
IMAGE 3.2,SSP1_SPA1_19I_D,Countries of Latin America and the Caribbean,0.24652137108301275,1.5992287345857075,0.1579198815677616,0.19779114622993502,,0.24652137108301275,0.8006515817380266,0.21069142388511716,0.06637144903496317,
IMAGE 3.2,SSP1_SPA1_19I_D_LB,Countries of Latin America and the Caribbean,0.26721266559123635,0.5874238919067108,0.3383206672330931,0.2022575394358913,,0.26721266559123635,0.2940929324457493,0.4513761180761608,0.06787020666233753,
IMAGE 3.2,SSP1_SPA1_19I_LI,Countries of Latin America and the Caribbean,0.17884306583747317,0.26588776177252943,0.15650759121204397,0.1314296781659429,,0.17884306583747317,0.13311632815496427,0.20880719333079212,0.04410297605501346,
IMAGE 3.2,SSP1_SPA1_19I_LIRE,Countries of Latin America and the Caribbean,0.41763473417563063,1.2652606362364893,0.12195926485829843,0.22806414666700353,,0.41763473417563063,0.6334509303173826,0.16271397188169287,0.07652995685466361,
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Countries of Latin America and the Caribbean,0.45087724197998236,0.2622458939533424,0.28679663049597226,0.4206097787672189,,0.45087724197998236,0.13129303223309086,0.3826344716369502,0.14114120387675136,
IMAGE 3.2,SSP1_SPA1_19I_RE,Countries of Latin America and the Caribbean,0.37480188761624367,0.5822072617356554,0.285006199661783,0.3002379109378788,,0.37480188761624367,0.2914812340016991,0.3802457387042872,0.10074882310966311,
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Countries of Latin America and the Caribbean,0.42221933866829203,0.5860064255476384,0.5100090349721095,0.3690185311983678,,0.42221933866829203,0.29338327993769464,0.6804369956827808,0.12382907477525204,
IMAGE 3.2,SSP2_SPA1_19I_D_LB,Countries of Latin America and the Caribbean,0.2925871774592896,0.5270192442321143,0.04507741280694075,1.2192177517676646,,0.2925871774592896,0.2638514318654569,0.06014077641817586,0.4091247278576252,
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Countries of Latin America and the Caribbean,0.45764563208308506,0.628545356707291,0.27794981958007864,1.3808948472926141,,0.45764563208308506,0.31468033506298543,0.37083135242100634,0.4633776269903317,
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Countries of Latin America and the Caribbean,0.5522537180254099,0.5269615171038065,0.31017413435004426,1.4699981566679188,,0.5522537180254099,0.2638225308611232,0.4138239553485422,0.49327742720775186,
IMAGE 3.2,SSP2_SPA2_19I_D,Countries of Latin America and the Caribbean,0.3629777869597469,1.5382986344157383,0.01850179552672101,1.2613764763919453,,0.3629777869597469,0.7701470141164475,0.02468447674388282,0.4232716484661272,
IMAGE 3.2,SSP2_SPA2_19I_LI,Countries of Latin America and the Caribbean,0.32388703290321774,0.6342414692158979,0.001384383783937047,1.196068193460845,,0.32388703290321774,0.31753208565447,0.0018469985396741022,0.4013565857611291,
IMAGE 3.2,SSP2_SPA2_19I_LIRE,Countries of Latin America and the Caribbean,0.634961287348527,1.6399336647729996,0.22105147771842126,1.379119491121118,,0.634961287348527,0.8210304468960705,0.2949194878443422,0.4627818826210747,
IMAGE 3.2,SSP2_SPA2_19I_RE,Countries of Latin America and the Caribbean,0.5870615643976435,1.5325454605786812,0.24420229964278045,1.4507558208077471,,0.5870615643976435,0.767266695852377,0.32580654010736626,0.4868204055553654,
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,Countries of Latin America and the Caribbean,0.17474292613841716,1.6039028097612449,0.23097027263120865,2.0351544648617987,,0.17474292613841716,0.8029916507985203,0.3081528122532319,0.6829231409874367,
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,Countries of Latin America and the Caribbean,0.16556094355005685,1.606079249134504,0.24553351730425022,1.9767557908784203,,0.16556094355005685,0.8040812820620608,0.32758260618474444,0.6633266894380264,
