model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score
IMAGE 3.2,SSP1_SPA1_19I_D,Countries of Latin America and the Caribbean,0.20705815029321933,1.5429942279781677,0.0,1.5296107941011987,1.1440478845589213,0.20705815029321933,0.7216297549767112,0.0,0.4647110792472591,0.41999268037331644
IMAGE 3.2,SSP1_SPA1_19I_D_LB,Countries of Latin America and the Caribbean,0.2151987857862556,1.5322972085147781,5.078939848516647,1.6105552512829782,1.0285804060232275,0.2151987857862556,0.7151140124821058,0.6974264518299764,0.49516444889282474,0.3391240998599065
IMAGE 3.2,SSP1_SPA1_19I_LI,Countries of Latin America and the Caribbean,0.18043128006180817,1.2409355753480937,0.0,1.5096950649312486,1.4164261751893532,0.18043128006180817,0.5376405226918699,0.0,0.45721827389294767,0.610755014541227
IMAGE 3.2,SSP1_SPA1_19I_LIRE,Countries of Latin America and the Caribbean,0.274379772745161,1.2403673022886867,0.0,1.5473682318091249,1.4918922644211867,0.274379772745161,0.5372943775872088,0.0,0.4713918802965903,0.6636082992103833
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Countries of Latin America and the Caribbean,0.2874584681743951,1.2376354779216157,0.0,1.6757862323038613,1.336789831687703,0.2874584681743951,0.5356303753689046,0.0,0.5197060079635178,0.5549810586366994
IMAGE 3.2,SSP1_SPA1_19I_RE,Countries of Latin America and the Caribbean,0.25752792276397507,1.5275701320097799,0.0,1.6545987106067543,1.1317864536614677,0.25752792276397507,0.7122346671313488,0.0,0.5117347218176805,0.41140528828409
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Countries of Latin America and the Caribbean,0.2761835068730407,1.5310127640165319,6.5169790101548575,1.7243554396868546,0.9781593706092169,0.2761835068730407,0.7143316347713959,0.894894147846657,0.5379789827578856,0.30381132076698664
IMAGE 3.2,SSP2_SPA1_19I_D_LB,Countries of Latin America and the Caribbean,0.22518195295104781,1.477561223510592,0.0,1.5900377235071017,1.0294585073366307,0.22518195295104781,0.6817733623415241,0.0,0.48744523155137376,0.3397390852017742
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Countries of Latin America and the Caribbean,0.2901213753541336,1.5695596372735725,0.0,1.7077837905462943,1.2015660806392572,0.2901213753541336,0.7378112125149598,0.0,0.5317443056164877,0.46027601321903094
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Countries of Latin America and the Caribbean,0.3273433066375637,0.47750891377365884,0.0,1.7448861178939756,0.9672990843080683,0.3273433066375637,0.07262393023265183,0.0,0.5457031476270319,0.29620523160421325
IMAGE 3.2,SSP2_SPA2_19I_D,Countries of Latin America and the Caribbean,0.25287593284428905,1.4877821014680817,0.0,1.6087949348427866,1.1300578767843936,0.25287593284428905,0.6879990786793991,0.0,0.4945021729432074,0.41019466551714295
IMAGE 3.2,SSP2_SPA2_19I_LI,Countries of Latin America and the Caribbean,0.23749634507631948,1.574721199187365,0.0,1.6031734444687236,1.3273188143948695,0.23749634507631948,0.7409552105618307,0.0,0.49238722486299635,0.5483479552364842
IMAGE 3.2,SSP2_SPA2_19I_LIRE,Countries of Latin America and the Caribbean,0.359883183449376,1.5798792117352216,0.0,1.685486097865079,1.3099133248339117,0.359883183449376,0.7440970466275498,0.0,0.5233553448265063,0.536157880145336
IMAGE 3.2,SSP2_SPA2_19I_RE,Countries of Latin America and the Caribbean,0.3410378577204522,1.4825688331353524,0.0,1.7504335375902307,1.0740649487415312,0.3410378577204522,0.684823585344307,0.0,0.5477902284287445,0.3709795664516857
