model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score
AIM/CGE 2.2,EN_NPi2020_300f,0.37826121379904587,0.0,1.0,1.3782612137990458
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.022858288862331554,0.13658033612968173,0.0,0.15943862499201328
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.0776560371894642,0.11455897992368391,0.0,0.19221501711314812
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.03878320633791209,0.1898630138946244,0.0,0.2286462202325365
IMAGE 3.2,SSP2_SPA2_19I_LI,0.13950141298361987,0.028590442325386458,1.0,1.1680918553090063
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,1.0,0.6134369074991776,1.0,2.6134369074991777
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.9471784834297723,0.5610203684673394,1.0,2.5081988518971117
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.7599444367257839,1.0,1.0,2.759944436725784
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.13954806528327926,0.5627597609427853,0.0,0.7023078262260646
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.0,0.5653686497619569,1.0,1.565368649761957
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.16308685333424952,0.683337965638629,0.0,0.8464248189728786
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3682571765541711,0.5987702174906513,1.0,1.9670273940448224
WITCH 5.0,EN_NPi2020_400f,0.2980187159744792,0.17855989740742417,1.0,1.4765786133819034
WITCH 5.0,EN_NPi2020_450f,0.31334123832692223,0.16722662290389498,1.0,1.480567861230817
WITCH 5.0,EN_NPi2020_500f,0.32889664965186755,0.15711970072808149,1.0,1.486016350379949
