model,scenario,Nd,total,Dy,Cd,Te,Se,In,resource_score
AIM/CGE 2.2,EN_NPi2020_300f,0.5926173212298127,2.544030015652817,0.4759861702227126,0.3270144871587341,0.37655152904485173,0.3640495843912757,0.4078109236054301,0.42400500260880286
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.2672783464220745,3.408470927606314,0.47286053124897665,0.6133490411065174,0.6866067969152408,0.648430634414296,0.7199455774992087,0.5680784879343856
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3400182878161151,2.1720662678309637,0.2915711354536382,0.3697459231291354,0.38938381177902487,0.3837525518415719,0.397594557811478,0.36201104463849393
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.3920283825321362,4.747095607797014,0.5603827976651107,0.8943809809633885,0.9698602018128607,0.9304432448235178,1.0,0.7911826012995024
IMAGE 3.2,SSP2_SPA2_19I_LI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.35230363457853425,3.6966923976307604,0.3376758101710238,0.7473354956915145,0.7584848416440834,0.7494726121651396,0.7514200033804648,0.6161153996051267
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.4171921554343591,4.036077547662555,0.369448481369928,0.8125153728959111,0.8169191718250655,0.8138259446429463,0.8061764214943448,0.6726795912770925
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.5724162057789354,5.045685250096363,0.48913676128950395,1.0,1.0,1.0,0.9841322830279233,0.8409475416827271
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.8837265035410018,4.089751064640808,0.6596422132914163,0.6047472363310779,0.6515072612329886,0.6230010712233961,0.6671267790209279,0.6816251774401346
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.8010428131047165,4.527257350294731,0.8488206901357349,0.64044032975997,0.7443108605092676,0.6948540885494078,0.7977885682356343,0.7545428917157885
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,1.0,5.067427519480859,1.0,0.689912386986909,0.7909745234567291,0.7439768670009782,0.8425637420362427,0.8445712532468098
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.7711008057090958,4.112427279184908,0.9598422249184008,0.5223721440947263,0.6177099647500578,0.5731242258773116,0.6682779138353162,0.6854045465308181
WITCH 5.0,EN_NPi2020_400f,0.7648216351836957,1.4994155664583346,0.4050159318092786,0.07555864669088388,0.08347538498803425,0.08210002979023101,0.08844393799621092,0.24990259440972243
WITCH 5.0,EN_NPi2020_450f,0.7577767522748278,1.4796142785213378,0.40246611375779545,0.0729939363246648,0.08088065308885335,0.0795877954920504,0.08590902758314632,0.24660237975355628
WITCH 5.0,EN_NPi2020_500f,0.7526324796585893,1.457383560486894,0.4005196403268565,0.06947831168196614,0.07696076736543564,0.07594730781812245,0.08184505363592419,0.242897260081149
