model,scenario,Nd,total,Dy,Ni,Mn,Ag,Cd,Te,Se,In,resource_score
AIM/CGE 2.2,EN_NPi2020_400f,0.49131395608286005,3.7440883164250227,0.42174841934241813,0.4711086621306429,0.4915857562394012,0.25750416148851574,0.3148072350485913,0.42355905428792695,0.36616978363018116,0.5062912881744853,0.4160098129361136
AIM/CGE 2.2,EN_NPi2020_500f,0.4444973530590004,3.375778420611944,0.37715909128605635,0.4203069810319657,0.4451255871128097,0.2282932357352509,0.28146296812464094,0.3848454671223663,0.33004220279909585,0.4640455343407575,0.37508649117910486
AIM/CGE 2.2,EN_NPi2020_600f,0.39003184496185367,2.9300811569527574,0.32134993407793727,0.35678408062460765,0.391473521585394,0.1938932072475219,0.24162226311075014,0.3369256366788264,0.2870961486813561,0.41090451998451044,0.32556457299475083
GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.3832178258834779,3.575939383297329,0.763909495348764,0.6425812973786953,0.3851754761289294,0.16029276120132474,0.21540820223359133,0.33569069287328845,0.26202834034634903,0.4276352919029087,0.39732659814414767
GCAM 5.3,NGFS2_Net-Zero 2050,0.327502922995196,2.546193420519476,0.4750205684332744,0.4524791757751422,0.3366724900731541,0.10938490554927231,0.14522741079278342,0.22913953973147477,0.17743549315095525,0.2933309140182232,0.2829103800577195
IMAGE 3.2,SSP1_SPA1_19I_D,0.159420541037547,1.739735467247713,0.08851129576321368,0.14555167192861315,0.16398004156702328,0.19672781732802758,0.21664666218054737,0.2577701222031189,0.22887459503536783,0.2822527202042541,0.19330394080530144
IMAGE 3.2,SSP1_SPA1_19I_LI,0.09311827958572859,1.7732267994781867,0.06414377301049382,0.11041427268145496,0.09323327570630568,0.2272776969221085,0.25541364004683226,0.3096814661926838,0.2752081425183214,0.34473625281425796,0.19702519994202075
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.16528780716341288,1.2709905864478785,0.0,0.0843874263601136,0.1754991151124772,0.14497536714404521,0.15615574593985868,0.1812320789041434,0.16678570523608494,0.19666734058774255,0.1412211762719865
IMAGE 3.2,SSP1_SPA1_19I_RE,0.17208519894729535,3.2665330334669673,0.14044001811671267,0.20831208195802953,0.17253753579954337,0.5025696656577794,0.5213334347756295,0.5209985288010182,0.5251658317841547,0.5030907376268049,0.36294811482966305
IMAGE 3.2,SSP2_SPA2_19I_D,0.0,0.12395613648985984,0.02113248025227117,0.0,0.0,0.0,0.004219152188411994,0.03127493818046062,0.014027911712472434,0.05330165415624361,0.013772904054428872
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.12362200277929301,2.5751371510693786,0.24701153902440887,0.21612335946758038,0.11922839159410216,0.30778138235796837,0.3440977589801877,0.40233236077788526,0.37384201899806113,0.44109833708989177,0.2861263501188198
IMAGE 3.2,SSP2_SPA2_19I_RE,0.16365589964484667,2.817306912063362,0.2589230332767608,0.23781879126385802,0.16188437089757823,0.35303153893120304,0.3820407438178159,0.4168406555443773,0.40664815174284535,0.43646372694407687,0.31303410134037357
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.43764570657488694,2.423003903553975,0.16239379922216254,0.38014216567125486,0.4516061548948351,0.20861517661778184,0.20614832128356383,0.19821571627361864,0.19696862528530348,0.18126823773056805,0.2692226559504417
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.46020067675455406,2.61324822757542,0.21628664272216652,0.4113482709220357,0.4744288072319685,0.19400030722728107,0.20286345974106648,0.22421419947902027,0.2002804376155715,0.2296254258817557,0.29036091417504667
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.44970981777715985,2.7617167126827806,0.23020472801404246,0.42555536659668763,0.462901125141385,0.24034433589589202,0.2430745297694732,0.2414665407754326,0.23892185261694343,0.22953841609576447,0.30685741252030896
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.4197926049008364,2.293882955212602,0.14140556763149525,0.3465407069942663,0.4348521893830702,0.20227356150122922,0.1988841062455944,0.18887264744242968,0.19021370966804935,0.17104786144563147,0.2548758839125113
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.40895339104472617,2.3883198840820326,0.19009988388617766,0.3618476949175555,0.42192799031100525,0.18862954426429485,0.19571097559125405,0.21224019407806038,0.19385450572907525,0.21505570425988263,0.26536887600911474
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.4685026120471873,2.8956835708589903,0.2552264817319602,0.4427117658723834,0.4825774294491122,0.22834289059197005,0.24073993545445727,0.26429239533120236,0.24189296149124864,0.27139709888946845,0.32174261898433226
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.3643510746248349,4.525952444800261,0.6908050796084246,0.6100221908365555,0.35546354678735376,0.330387156850903,0.4147913864788566,0.5786570778177936,0.48091560990416365,0.7005593218913747,0.5028836049778067
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.3053778707736567,3.7538544444188604,0.5669437825536902,0.5113357907729652,0.2976929976719153,0.2821675666834058,0.34727048167169805,0.4766270464072846,0.39589535004512,0.5705435578391242,0.41709493826876226
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.29981431465008596,3.3946169063808345,0.46565302323123664,0.4380619269599558,0.29751993165016577,0.258970079227494,0.31756190823931646,0.43466622350715,0.3624273006723273,0.5199421982431025,0.37717965626453714
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.3128495086355478,3.311110971503644,0.43075219068445414,0.41793533003250194,0.31368449102704676,0.26463435984834094,0.3157603114081317,0.41395055494272864,0.35653728536926754,0.48500693955562457,0.36790121905596046
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.3211475895700223,3.1172558373149997,0.3689315708878845,0.38223750302300197,0.32573328167740234,0.2577189118188583,0.301147050965824,0.38322158110067794,0.33568548397000714,0.4414328643013213,0.3463617597016666
