model,scenario,flexibility_scores,shannon_index,carbon_budgets,CDR_2050,robustness_score
IMAGE 3.2,SSP1_SPA1_19I_D,0.8337873504823194,0.42454153876974116,0.7038276078292051,0.7209407566707214,2.683097253751987
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.7207661950124072,0.4138262360555846,0.45782367754925957,0.3938030566714843,1.9862191652887355
IMAGE 3.2,SSP1_SPA1_19I_LI,0.8267983942838377,0.4231400655627594,0.6249520334474197,0.891189700143229,2.7660801934372454
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.7844708572238737,0.22885044857203618,0.6472367733173835,1.0,2.6605580791132932
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.6614955428185417,0.30162100401457625,0.4194241255700239,0.7182878828839421,2.100828555287084
IMAGE 3.2,SSP1_SPA1_19I_RE,0.6804941639532379,0.43571296460026543,0.6663444103780951,0.6348189945317371,2.4173705334633357
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.5948922199826606,0.5183642597998315,0.4645110035489572,0.38983920299328056,1.96760668632473
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.9744497731494526,0.0,0.5115743674099253,0.36725265944374397,1.853276800003122
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.6740617412494279,0.2775433415480935,0.4332175376285265,0.5572313338219215,1.9420539542479693
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.6842846349055941,0.27687101129868685,0.5146086616523255,0.3736136786553303,1.8493779865119369
IMAGE 3.2,SSP2_SPA2_19I_D,0.991305176589644,0.2642225077839289,0.6806937271674706,0.6896111188626115,2.625832530403655
IMAGE 3.2,SSP2_SPA2_19I_LI,1.0,0.16160364675156016,0.7240192315536033,0.6925932412532546,2.578216119558418
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.7665449209568266,0.18949514231429881,0.5908219053832306,0.8031421367763744,2.3500041054307306
IMAGE 3.2,SSP2_SPA2_19I_RE,0.7531923364906686,0.19853573959544077,0.5851570930457994,0.7468204158400576,2.2837055849719663
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.6583112611096296,0.07503278942963414,0.861111831277209,0.1720321081277113,1.766487989944184
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.6493511289820759,0.08653433492788103,0.825716996196937,0.1672806311375831,1.728883091244477
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.6430867959151968,0.1093924901108824,0.9499087606558291,0.1735321556846518,1.87592020236656
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.6625524546584257,0.09793833469126492,0.861111831277209,0.1649627963813791,1.7865654170082788
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.6570285400007173,0.10515901669000545,0.825716996196937,0.16130045617949157,1.7492050090671512
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.6384154934628009,0.11339496524308858,0.9353164519042714,0.16810925539459193,1.8552361660047527
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.6048264846655336,0.0873956232737739,0.2814516957373771,0.24643647660487045,1.2201102802815549
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.619180674045483,0.09925470549037327,0.34090104745061733,0.23653229472242196,1.2958687217088958
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.6485083165393515,0.09425784945002792,0.38726696420044593,0.23237728908988786,1.362410419279713
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.6262622386431961,0.15178273742387352,0.08358966259071375,0.28435379936131966,1.145988438019103
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.6587139430647246,0.09414246007537114,0.4096210704589802,0.2308662250024555,1.3933436986015315
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.6219014135015516,0.18153430541451226,0.14559682650532316,0.27084038236068275,1.21987292778207
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.6666263358804888,0.09961848785033896,0.44051842134663166,0.22708010637468856,1.433843351452148
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.6375233261514495,0.2035287741246991,0.2733027390090629,0.24052360761413727,1.3548784468993489
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.6693295961326821,0.17611197751063418,0.2578217806454978,0.23573817550011217,1.3390015297889264
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.4374214814924453,0.6722199112292413,0.33717136219907556,0.2628458498011763,1.7096586047219384
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.6707220839292621,0.1753283952190783,0.2287715663202444,0.23312200685138804,1.3079440523199728
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.6876999579805657,0.15280205177751593,0.24059325605133075,0.23535445063181468,1.316449716441227
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.685830921008535,0.15226015335678583,0.25245745056827124,0.2370470023015245,1.3275955272351168
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.6834944189716847,0.14824601305352172,0.2651636655668601,0.23890586011710108,1.3358099577091676
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.6739553196707911,0.11792928911633949,0.4748023321264964,0.21518528838461673,1.4818722292982438
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.7089094096530894,0.09038638451765452,0.4212466483151585,0.21081032438565311,1.4313527668715555
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.35248968972021044,0.6341615288161897,0.7080834335897076,0.20832374711798385,1.9030583992440917
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.6722808887875295,0.15791710963043445,0.2996643811253527,0.21771830320412405,1.3475806827474408
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.6776502617918809,0.14277409530136853,0.35565974202759876,0.21755938043437284,1.3936434795552213
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.679628700284447,0.13087054782782148,0.40321102680414395,0.21432172387716167,1.4280319987935741
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.6766532798101074,0.12396577393981474,0.44365469438312594,0.21502532760131318,1.4592990757343614
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.6731349267137391,0.18716315685597018,0.3660022793408794,0.23035761669964375,1.4566579796102324
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.7046920636718609,0.161673145168555,0.3320008705467327,0.22696959520272342,1.425335674589872
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.6974467922407305,0.11537635598246687,0.5156260479875631,0.20638969354136802,1.5348388897521286
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.7175561966629892,0.09832868242754969,0.4714021827474951,0.19339738009367252,1.4806844419317065
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.6668373467538627,0.09987892268908091,0.21893614251777083,0.25087646136723313,1.2365288733279476
