model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
IMAGE 3.2,SSP1_SPA1_19I_D,0.13094295801768333,0.6160927749927634,0.3926378046396603,0.004374346908814295,1.1440478845589213,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.11494648753687915,0.49351463581473665,0.41624319888154304,0.003876083790068678,1.0285804060232275,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LI,0.4179048932433164,0.6077865195231741,0.38726587534661056,0.003468887076252151,1.4164261751893532,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.4967686215498253,0.6409594089502951,0.35065375353184686,0.0035104803892192556,1.4918922644211867,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.4619014290336651,0.4978368015330806,0.3740631218299709,0.002988479290986304,1.336789831687703,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE,0.1613817383892841,0.5686945352689626,0.3976102122567272,0.004099967746493741,1.1317864536614677,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.11939420300118558,0.4280014780202326,0.4268793559917847,0.0038843335960140287,0.9781593706092169,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.09082752265471886,0.6388813951182719,0.2956179439720833,0.004131645591556522,1.0294585073366307,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3489134748699087,0.5249055806755015,0.3243086310261138,0.003438394067733128,1.2015660806392572,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.08366807777356196,0.5020953773437546,0.37741751051305333,0.0041181186776983745,0.9672990843080683,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_D,0.12966548742582718,0.6718799454801415,0.3239410394826097,0.004571404395815103,1.1300578767843936,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LI,0.35089812289649297,0.6657204488253653,0.3064926441041228,0.004207598568888452,1.3273188143948695,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.36690415153613504,0.5983892533338935,0.34040490767722675,0.0042150122866564345,1.3099133248339117,Countries of Latin America and the Caribbean
IMAGE 3.2,SSP2_SPA2_19I_RE,0.1413044789913749,0.5757981001352915,0.35247761616753825,0.004484753447326502,1.0740649487415312,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.04484456541417154,0.4527504666570965,0.391830298917985,0.006034834810530763,0.8954601657997838,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.04219848610851028,0.5009917630190401,0.39047889435353766,0.0064113283470800505,0.9400804718281681,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.03771304452439557,0.45311114593857504,0.4036367057670369,0.006277119486182476,0.90073801571619,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.042765596515157205,0.4509779570933069,0.3946150376016545,0.006034834810530763,0.8943934260206494,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.04018060991921798,0.5003443617392465,0.3937014278004997,0.0064113283470800505,0.9406377278060443,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.0319394794224952,0.45766546341088915,0.4028059663452017,0.006670765279301798,0.8990816744578879,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.0628531880870992,0.29625687651989013,0.39514784252163926,0.0035193174681287147,0.7577772245967572,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.06120972843524563,0.3301976446692676,0.4209065328203649,0.0036491407136140445,0.8159630466384922,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.06114839918648005,0.3936272962485715,0.4166454461211185,0.003770150576792464,0.8751912921329625,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.0802025516771926,0.37134722653777896,0.4140131020623278,0.002637093339076284,0.8681999736163756,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.06089456430900168,0.42151077747530563,0.41563958119767813,0.0037943330778991823,0.9018392560598847,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.07454011905775407,0.334339947391324,0.41077280818622464,0.0028809788694726785,0.8225338535047754,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.06027291741093903,0.44726624199509657,0.41509490374213215,0.0039003604831922786,0.92653442363136,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.06264403803563671,0.2912796428197695,0.3954662303601441,0.003477928939746212,0.7528678401552965,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.07929567213007625,0.32818254642419814,0.4179744972173128,0.0032706033502189454,0.8287233191218061,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.07297118158885894,0.3884857335244838,0.432233143259631,0.0034304579103353675,0.8971205162833091,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.061078044301330583,0.3105980332478255,0.3342044669951401,0.0033864005939355777,0.7092669451382317,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.061682013930767575,0.30947017856751047,0.335825467554123,0.0034301565061939294,0.710407816558595,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.062408105820008726,0.33595800214644467,0.3330125597471221,0.003468264286210491,0.7348469319997861,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.062481304127377936,0.33757832797164117,0.3329121181229926,0.0034923944148492992,0.7364641446368609,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.05565041693139637,0.4609876783860804,0.4174665950374574,0.003983981362114761,0.938088671717049,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.068029638238128,0.4824433069613427,0.4152649591204768,0.0036734994863288715,0.9694114038062763,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.05334078159692753,0.5504092040082768,0.41198119008752565,0.004676792276281007,1.020407967969011,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.05442898751649469,0.37127263819974266,0.359491303584635,0.0035975390293386763,0.788790468330211,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.05454011380683499,0.4131039811503144,0.3321220294173906,0.003643881790750095,0.8034100061652901,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.05364972264100503,0.424861782845565,0.3598542887177018,0.003715470087537733,0.8420812642918095,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.0540844083359985,0.42310149326306995,0.42877091620544,0.003853595231581155,0.9098104130360896,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.061111209304398756,0.3683266229912464,0.418005281846286,0.003725989627164974,0.851169103769096,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.0751602439323376,0.3996537460335217,0.4156781583542186,0.003436599713057672,0.8939287480331355,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.052834128588330725,0.49005835879238396,0.42171829528608124,0.004127676397796808,0.9687384590645927,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.06352458744346134,0.5026969422951244,0.41383549793796365,0.003933518879578959,0.9839905465561284,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.08261121513490041,0.3823272797355421,0.4438230013912874,0.0028034610001222626,0.9115649572618523,Countries of Latin America and the Caribbean
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.0711909231106829,0.34408358272806083,0.41815849757557755,0.0033076779582281134,0.8367406813725493,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.11507735307232414,0.48214129870980593,0.39906944291586344,0.0056974278974465204,1.0019855225954402,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.20828516936061767,0.48731630804556814,0.3981057016685301,0.00569253665802279,1.0993997157327386,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.15843237268495275,0.4509536973826925,0.4008968010561842,0.003942782758313332,1.0142256538821426,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.2737695645158185,0.43435510995338006,0.407193750634858,0.0031514537772293545,1.118469878881286,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.13852625361953033,0.4504558590858644,0.40236573958944305,0.0039258433388755535,0.9952736956337133,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.10903005904480174,0.49185498298040536,0.39874890352516773,0.005649354823682073,1.0052833003740569,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.10973360418102351,0.4506757094165403,0.4170467155241194,0.005352161470606599,0.9828081905922897,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.21691458550864626,0.4939153573443844,0.39842352054442637,0.00569833485502916,1.1149517982524861,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.24541435378955012,0.44132361757713345,0.4067335102698743,0.003747136319829115,1.097218617956387,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.18466529814505533,0.4673831583747889,0.39865119465954707,0.005342775897361101,1.0560424270767523,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.16533562844401464,0.44245530840271535,0.3988083744357464,0.005217280802335701,1.0118165920848121,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.3698698805408973,0.34863773899469663,0.4040779429450417,0.002123708334462553,1.124709270815098,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.10903005904480174,0.49185498298040536,0.39874890352516773,0.005762218385351592,1.0053961639357265,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.13852625361953033,0.4504558590858644,0.40236573958944305,0.00404407611442548,0.9953919284092632,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.09567414573565282,0.4678169079840274,0.40335816866423757,0.005362294775697272,0.9722115171596151,Countries of Latin America and the Caribbean
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.0935924238193935,0.4450512133157066,0.4065655080983034,0.005197316798478639,0.9504064620318822,Countries of Latin America and the Caribbean
