model,scenario,shannon_index
AIM/CGE 2.2,EN_NPi2020_300f,1.6360190991954249
IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.5684883779210717
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.5793766075899347
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.5421433141815957
IMAGE 3.2,SSP2_SPA2_19I_LI,1.6218828534773522
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,1.3327116246817092
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,1.3586284351672566
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.1415795393876833
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,1.3577684107173642
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,1.3564784728780255
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,1.2981497762651437
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,1.3399634164333616
WITCH 5.0,EN_NPi2020_400f,1.5477320221219826
WITCH 5.0,EN_NPi2020_450f,1.5533356413786878
WITCH 5.0,EN_NPi2020_500f,1.5583329035303082
