,model,scenario,shannon_index,region
0,IMAGE 3.2,SSP1_SPA1_19I_D,1.4784761937943467,Countries of Latin America and the Caribbean
1,IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.4592320926145843,Countries of Latin America and the Caribbean
2,IMAGE 3.2,SSP1_SPA1_19I_LI,1.4848713652365544,Countries of Latin America and the Caribbean
3,IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.5290120701815881,Countries of Latin America and the Caribbean
4,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.4084967334818836,Countries of Latin America and the Caribbean
5,IMAGE 3.2,SSP1_SPA1_19I_RE,1.4255356148386886,Countries of Latin America and the Caribbean
6,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.3703145486822021,Countries of Latin America and the Caribbean
7,IMAGE 3.2,SSP2_SPA1_19I_D_LB,1.5561228594325072,Countries of Latin America and the Caribbean
8,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,1.4312664767783403,Countries of Latin America and the Caribbean
9,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,1.4191070987176364,Countries of Latin America and the Caribbean
10,IMAGE 3.2,SSP2_SPA2_19I_D,1.5469081798413222,Countries of Latin America and the Caribbean
11,IMAGE 3.2,SSP2_SPA2_19I_LI,1.5489893189790225,Countries of Latin America and the Caribbean
12,IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.4945563698273934,Countries of Latin America and the Caribbean
13,IMAGE 3.2,SSP2_SPA2_19I_RE,1.4421951025494946,Countries of Latin America and the Caribbean
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.0997877428461424,Countries of Latin America and the Caribbean
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.1354487592828246,Countries of Latin America and the Caribbean
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.154144855365034,Countries of Latin America and the Caribbean
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.122133181411383,Countries of Latin America and the Caribbean
18,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.1688001877409933,Countries of Latin America and the Caribbean
19,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,1.1530733510399342,Countries of Latin America and the Caribbean
20,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,1.0274849033921687,Countries of Latin America and the Caribbean
21,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,1.0532368984143496,Countries of Latin America and the Caribbean
22,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,1.092411744656618,Countries of Latin America and the Caribbean
23,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,1.1219315287261473,Countries of Latin America and the Caribbean
24,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,1.1099672585168843,Countries of Latin America and the Caribbean
25,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,1.1383636129920796,Countries of Latin America and the Caribbean
26,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,1.1182574251691064,Countries of Latin America and the Caribbean
