,category,mineral,2020,2025,2030,2035,2040,2045,2050
0,wind_on,Nd,9.6516,7.92405,6.120000000000001,6.125,6.120000000000001,6.105,6.08
0,wind_on,Dy,1.1984000000000001,0.8057750000000002,0.37550000000000006,0.3990000000000001,0.42200000000000004,0.4445,0.4665
0,wind_on,Ni,378.7950000000001,379.34250000000003,379.89000000000004,379.75500000000005,379.62,380.12,380.62
0,wind_on,Mn,652.3124,645.17735,638.0423000000001,635.7139500000001,633.3856000000001,630.95725,628.5289
0,wind_on,Ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_on,Cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_on,Te,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_on,Se,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_on,In,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_off,Nd,14.3955,16.122525,17.9224,21.2471,23.9,25.485,26.980000000000004
0,wind_off,Dy,1.0499999999999998,1.179825,1.2022,1.52655,1.8525,2.0475,2.244
0,wind_off,Ni,404.16999999999996,400.71750000000003,397.26500000000004,394.56,391.855,388.4025,384.95000000000005
0,wind_off,Mn,590.0,582.8,575.5999999999999,562.7500000000001,549.9000000000001,542.6999999999999,535.5
0,wind_off,Ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_off,Cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_off,Te,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_off,Se,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_off,In,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,solar,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,solar,Dy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,solar,Ni,1.1374,1.1434499999999999,1.1495,1.1495,1.1495,1.1495,1.1495
0,solar,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,solar,Ag,14.9272,11.6991,8.436,5.586,2.7359999999999998,2.5982499999999997,2.4604999999999997
0,solar,Cd,1.7868000000000002,1.7574,1.7280000000000002,1.3506,0.9732,0.8745999999999999,0.7759999999999999
0,solar,Te,2.02,1.6980000000000002,1.376,1.208,1.04,0.9581999999999999,0.8764000000000001
0,solar,Se,0.912,0.912,0.912,0.912,0.912,0.912,0.912
0,solar,In,0.456,0.456,0.456,0.456,0.456,0.456,0.456
0,wind_default,Nd,10.1,9.88036,9.66072,11.446359999999999,13.232,14.881,16.53
0,wind_default,Dy,1.18,0.901755,0.62351,0.808855,0.9942,1.174725,1.35525
0,wind_default,Ni,381.1,383.10125000000005,385.1025,384.80825000000004,384.514,383.6495,382.785
0,wind_default,Mn,646.08,632.6948050000001,619.30961,609.650485,599.99136,591.002905,582.01445
0,wind_default,Ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_default,Cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_default,Te,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_default,Se,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,wind_default,In,0.0,0.0,0.0,0.0,0.0,0.0,0.0
