model,scenario,total_CDR
AIM/CGE 2.2,EN_NPi2020_400f,14649.52434271
AIM/CGE 2.2,EN_NPi2020_500f,11713.048048620001
AIM/CGE 2.2,EN_NPi2020_600f,9350.97569895
GCAM 5.3,NGFS2_Divergent Net Zero Policies,23134.76568544
GCAM 5.3,NGFS2_Net-Zero 2050,24806.791241548
IMAGE 3.2,SSP1_SPA1_19I_D,45471.76089609986
IMAGE 3.2,SSP1_SPA1_19I_LI,54859.50936108551
IMAGE 3.2,SSP1_SPA1_19I_LIRE,60987.390775625834
IMAGE 3.2,SSP1_SPA1_19I_RE,40205.094293838
IMAGE 3.2,SSP2_SPA2_19I_D,43926.40515596913
IMAGE 3.2,SSP2_SPA2_19I_LIRE,49807.81386733716
IMAGE 3.2,SSP2_SPA2_19I_RE,46577.63503712131
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,13050.733415413022
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,12780.958449067426
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,13128.127713002441
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,12630.708315510346
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,12422.686860584561
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,12838.13619777423
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,17227.396850011784
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,16670.13498820098
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,16426.78558008576
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,16336.682661733894
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,16119.79092154549
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,16871.11840035229
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,18122.14300988914
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,15458.284371830958
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,15200.320085473162
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,15099.112167271127
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,15539.249657404709
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,15555.080628810108
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,15392.749672866848
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,15450.11208040181
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,16290.779139466957
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,16094.319476167015
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,14945.66795880971
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,14202.14386967249
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,11273.815294095954
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,11253.96747204203
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,12260.242150302016
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,12432.357644419839
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,12056.383584754305
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,12822.473168225402
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,12817.017599332006
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,12778.72382663049
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,12792.9548206527
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,12831.433333340552
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,11275.739718545685
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,20030.9742
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,38598.13649999999
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,19766.771399999998
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,16512.2235
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,16865.6593
REMIND-MAgPIE 1.7-3.0,CO_Bridge,16140.131800000001
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,35399.8049
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,31330.149899999997
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,28458.3067
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,16865.6593
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,16512.2235
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,14901.6311
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,14231.531299999999
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,28640.8534
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,25696.3746
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,23576.0017
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,18723.0631
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,17294.3499
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,16245.792500000001
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,19866.587999999996
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,20068.0734
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,14385.4705
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,7256.331899999999
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,7770.9358
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,14324.5536
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,10301.0075
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,9411.8201
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,11803.0395
WITCH 5.0,EN_INDCi2030_500f,13082.888106482664
