,model,scenario,total_CDR,total_CDR_gdp,total_CDR_land,region
0,AIM/CGE 2.2,EN_NPi2020_400f,64790.27877940501,0.21984738236430315,30.345080380350698,Countries of Latin America and the Caribbean
1,AIM/CGE 2.2,EN_NPi2020_500f,64065.82205291001,0.21677259027163664,30.005774885580013,Countries of Latin America and the Caribbean
2,AIM/CGE 2.2,EN_NPi2020_600f,57776.653415225,0.1949681822777693,27.060189044131274,Countries of Latin America and the Caribbean
3,GCAM 5.3,NGFS2_Divergent Net Zero Policies,83054.27282802001,0.2935737313356522,41.04558590605741,Countries of Latin America and the Caribbean
4,GCAM 5.3,NGFS2_Net-Zero 2050,79383.274236,0.27550506130803826,39.23137133483317,Countries of Latin America and the Caribbean
5,IMAGE 3.2,SSP1_SPA1_19I_D,0.0,0.0,0.0,Countries of Latin America and the Caribbean
6,IMAGE 3.2,SSP1_SPA1_19I_LI,0.0,0.0,0.0,Countries of Latin America and the Caribbean
7,IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.0,0.0,0.0,Countries of Latin America and the Caribbean
8,IMAGE 3.2,SSP1_SPA1_19I_RE,0.0,0.0,0.0,Countries of Latin America and the Caribbean
9,IMAGE 3.2,SSP2_SPA2_19I_D,0.0,0.0,0.0,Countries of Latin America and the Caribbean
10,IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.0,0.0,0.0,Countries of Latin America and the Caribbean
11,IMAGE 3.2,SSP2_SPA2_19I_RE,0.0,0.0,0.0,Countries of Latin America and the Caribbean
12,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.0,0.0,0.0,Countries of Latin America and the Caribbean
13,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.0,0.0,0.0,Countries of Latin America and the Caribbean
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.0,0.0,0.0,Countries of Latin America and the Caribbean
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.0,0.0,0.0,Countries of Latin America and the Caribbean
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.0,0.0,0.0,Countries of Latin America and the Caribbean
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.0,0.0,0.0,Countries of Latin America and the Caribbean
18,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.0,0.0,0.0,Countries of Latin America and the Caribbean
19,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.0,0.0,0.0,Countries of Latin America and the Caribbean
20,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.0,0.0,0.0,Countries of Latin America and the Caribbean
21,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0,0.0,0.0,Countries of Latin America and the Caribbean
22,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.0,0.0,0.0,Countries of Latin America and the Caribbean
23,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.0,0.0,0.0,Countries of Latin America and the Caribbean
24,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.0,0.0,0.0,Countries of Latin America and the Caribbean
25,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.0,0.0,0.0,Countries of Latin America and the Caribbean
26,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.0,0.0,0.0,Countries of Latin America and the Caribbean
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0,0.0,0.0,Countries of Latin America and the Caribbean
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.0,0.0,0.0,Countries of Latin America and the Caribbean
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.0,0.0,0.0,Countries of Latin America and the Caribbean
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.0,0.0,0.0,Countries of Latin America and the Caribbean
