tech,category,year,Nd (g/kW),Dy (g/kW),Ni (g/kW),Mn (g/kW),Ag (g/kW),Cd (g/kW),Te (g/kW),Se (g/kW),In (g/kW)
W-on-AG,wind_on,2020,0,0,403.5,780,0,0,0,0,0
W-on-SG-PM-HS,wind_on,2050,16,1.3,440,304.33,0,0,0,0,0
W-on-SG-PM-HS,wind_on,2030,18,1.1,440,304.33,0,0,0,0,0
W-on-SG-PM-HS,wind_on,2020,34.47,4.28,440,304.33,0,0,0,0,0
W-on-SG-PM-MS,wind_on,2050,32,2.05,440,304.33,0,0,0,0,0
W-on-SG-PM-MS,wind_on,2030,36,2.25,440,304.33,0,0,0,0,0
W-on-SG-PM-MS,wind_on,2020,41.1,4.76,440,304.33,0,0,0,0,0
W-off-AG,wind_off,2020,0,0,403.5,780,0,0,0,0,0
W-off-SG-PM-MS,wind_off,2050,32,2.05,440,304,0,0,0,0,0
W-off-SG-PM-MS,wind_off,2030,36,2.25,440,304,0,0,0,0,0
W-off-SG-PM-MS,wind_off,2020,41.13,3,440,304,0,0,0,0,0
W-off-SG-PM-DD,wind_off,2050,115,11.05,240,301,0,0,0,0,0
W-off-SG-PM-DD,wind_off,2040,120,11,240,301,0,0,0,0,0
W-off-SG-PM-DD,wind_off,2030,142.06,10.93,240,301,0,0,0,0,0
W-off-SG-PM-DD,wind_off,2020,139.7,16.49,240,301,0,0,0,0,0
S-c-Si,solar,2050,0,0,1.21,0,2.59,0,0,0,0
S-c-Si,solar,2040,0,0,1.21,0,2.88,0,0,0,0
S-c-Si,solar,2030,0,0,1.21,0,8.88,0,0,0,0
S-c-Si,solar,2020,0,0,1.21,0,15.88,0,0,0,0
S-CdTe,solar,2020,0,0,0,0,0,44.67,50.5,22.8,11.4
S-CdTe,solar,2030,0,0,0,0,0,43.2,34.4,22.8,11.4
S-CdTe,solar,2040,0,0,0,0,0,24.33,26,22.8,11.4
S-CdTe,solar,2050,0,0,0,0,0,19.4,21.91,22.8,11.4
W-on-SG-E-DD,wind_on,2020,0,0,340,790,0,0,0,0,0
wind_default,wind_default,2020,10.1,1.18,381.1,646.08,0,0,0,0,0
wind_default,wind_default,2030,9.66072,0.62351,385.1025,619.30961,0,0,0,0,0
wind_default,wind_default,2040,13.232,0.9942,384.514,599.99136,0,0,0,0,0
wind_default,wind_default,2050,16.53,1.35525,382.785,582.01445,0,0,0,0,0
