mineral,2016,2017,2018,2019,2020,2021,2022,2023,,,
Dy,,,,,,,,,,,
Nd,,,,,,,,,,,
Cd,69000,69000,75000,75000,75000,75000,63000,66000,,,
Se,100000,100000,99000,99000,100000,100000,81000,95000,,,
In,,,,,,,,312440,,,
Te,25000,31000,31000,31000,31000,31000,32000,36000,,,
Mn,690000000,680000000,760000000,810000000,1300000000,1500000000,1700000000,1900000000,,,
Ag,570000,530000,560000,560000,500000,530000,550000,610000,,,
Ni,130000000,130000000,130000000,130000000,300000000,300000000,300000000,350000000,,,
,,,,,,,,,,,
,,,,,,,,,,,
rare earths ,120000000,120000000,120000000,120000000,120000000,120000000,130000000,110000000,0.916666667,0.987646739,-0.012353261
,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
zinc,230000000,230000000,250000000,250000000,250000000,250000000,210000000,220000000,0.956521739,0.993669868,-0.006330132
cd,69000,69000,75000,75000,75000,75000,63000,66000,0.956521739,0.993669868,-0.006330132
,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
cd + prod,94744,93765,103105,101811,99531,99700,85600,89000,0.93937347,0.991105202,-0.008894798
Se + prod,103618,103718,102607,102687,103684,103800,85100,99400,0.959292787,0.994080597,-0.005919403
,798,,,,,,,,0,0,-1
te + prod,25408,31430,31527,31620,31633,31670,32674,36730,1.445607683,1.054057614,0.054057614
mn + prod,705700000,697300000,778000000,829600000,1318900000,1520100000,1719800000,1920000000,2.720702848,1.153711712,0.153711712
ag + prod,595700,556800,586900,586500,523500,555000,575600,636000,1.067651502,1.009395489,0.009395489
ni + prod,132090000,132160000,132400000,132610000,302510000,302730000,303270000,353600000,2.676962677,1.15104356,0.15104356
