model,scenario,between_region_gini
IMAGE 3.2,SSP1_SPA1_19I_D,0.3248948005757516
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.3248948005757516
IMAGE 3.2,SSP1_SPA1_19I_LI,0.3248948005757516
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.35986188638608535
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.35986188638608535
IMAGE 3.2,SSP1_SPA1_19I_RE,0.3248948005757516
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.3248948005757516
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.35986188638608535
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.35986188638608535
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.35986188638608535
IMAGE 3.2,SSP2_SPA2_19I_D,0.35986188638608535
IMAGE 3.2,SSP2_SPA2_19I_LI,0.35986188638608535
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.35986188638608535
IMAGE 3.2,SSP2_SPA2_19I_RE,0.35986188638608535
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.3106197418697294
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.31028183308902363
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.2791514336433657
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.3073587340091654
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.30719275367844834
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.27880787666326384
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.2775981122338227
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.276444312654678
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.27565762840977626
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.27514850982462263
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.27542637942936843
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.27410979834474786
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.2751721562022307
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.273700431901058
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.3028114354789749
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.2744842529342487
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.27343562499796287
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.27348029601809987
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.2735375679081906
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.27361774192909577
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.2748371749289539
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.30393380526635017
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.2893896477395951
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.2732958917238675
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.273472986087943
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.2737427188794028
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.2741313535618194
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.27352867430362504
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.3026951964187674
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.2744950830419296
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.30370075316194217
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.30320665772484406
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.30193839220860746
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.4134140174071098
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.417687505978071
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.41264310881377175
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.4154946518927494
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.4129498221495134
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.41378991324067993
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.41424780826727964
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.41867301978888927
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.41602006184431456
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.4177347200885252
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.4166160491002875
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.42812929257558435
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.41378991324067993
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.4129498221495134
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.41383669830844094
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.4129735105892659
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.4225539911913735
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.4165136366031645
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.4204756176721371
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.418776341628645
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.3767452733418025
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.3781056024008268
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.4137009418883039
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.41691911585178415
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.4140716092920307
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.41383777022172513
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.4136641465501168
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.44019971135859864
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.44001154133882997
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.4134917551462547
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.4369425973175941
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.4368555988026343
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.41350855629000927
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.4140474152313783
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.41392510694885704
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.415775410390124
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.413760938232116
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.41480228816888065
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.41368451818498186
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.41428969967829204
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.4373001429358315
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.4135088679376599
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.4368450661803802
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.3735678528183448
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.3762860928440344
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.41372911378434873
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.4118950117597475
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.41095019369257824
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.41202102904668175
WITCH 5.0,EN_INDCi2030_500f,0.37818552221762897
WITCH 5.0,EN_NPi2020_400f,0.37708333748873435
WITCH 5.0,EN_NPi2020_450,0.3791488871482845
WITCH 5.0,EN_NPi2020_450f,0.37674739340030755
WITCH 5.0,EN_NPi2020_500,0.3794151656527696
WITCH 5.0,EN_NPi2020_500f,0.3764912888481758
