model,scenario,between_region_gini
IMAGE 3.2,SSP1_SPA1_19I_D,0.3379803758960823
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.3379803758960823
IMAGE 3.2,SSP1_SPA1_19I_LI,0.3379803758960823
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.32495473213911114
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.32495473213911114
IMAGE 3.2,SSP1_SPA1_19I_RE,0.3379803758960823
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.3379803758960823
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.32495473213911114
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.32495473213911114
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.32495473213911114
IMAGE 3.2,SSP2_SPA2_19I_D,0.32495473213911114
IMAGE 3.2,SSP2_SPA2_19I_LI,0.32495473213911114
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.32495473213911114
IMAGE 3.2,SSP2_SPA2_19I_RE,0.32495473213911114
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.29482620999424913
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.29503352987838016
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.26613760823012805
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.2940891429891765
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.29420964219370016
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.2660803571323941
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.2656164327260055
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.2653562071552363
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.26535229686890677
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.2654418746851676
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.2653757499406465
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.26510484415826924
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.2652992902752219
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.2651250939557871
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.29312919320922637
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.2651260236817976
