model,scenario,carbon_budget_share,region
IMAGE 3.2,SSP1_SPA1_19I_D,0.7326311058963404,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.6587690963906204,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,0.6098698185445194,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.6169669263743643,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.5390635016464249,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,0.6919465703651219,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.6599980378675794,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.694028926994665,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.6016470153741661,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.6919621572522244,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,0.7580775003602568,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,0.7130365813327706,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.7150460071849049,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,0.7430287843384381,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.0041697279525017,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.0627727413223425,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.0558983609448345,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.0041697279525017,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.0627727413223425,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,1.1179716324998008,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.6226253839665491,R10LATIN_AM
