model,scenario,investment_score,investment_score_2050
IMAGE 3.2,SSP1_SPA1_19I_D,0.08548679136717745,0.3030374226715021
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.13397672209745634,0.44938444218989787
IMAGE 3.2,SSP1_SPA1_19I_LI,0.039660665412109546,0.2568112966515533
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.27962043942468595,0.36605449573393173
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3368874645230711,0.5314334183506355
IMAGE 3.2,SSP1_SPA1_19I_RE,0.21527212019008396,0.4388879480072151
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.311840210945197,0.6543553391938309
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.1627449664288211,0.30478482113314653
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3333513029960385,0.5199911027784726
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.41692821089106086,0.5922971076245599
IMAGE 3.2,SSP2_SPA2_19I_D,0.18740270344572257,0.31062799278835607
IMAGE 3.2,SSP2_SPA2_19I_LI,0.11981640531569879,0.28868387148372615
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.44114125300984497,0.566165623408614
IMAGE 3.2,SSP2_SPA2_19I_RE,0.451256916231042,0.5979360755961931
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.09901785409749256,0.10333534367874447
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.09927158211127383,0.10240132990946635
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.06438277562525196,0.06873505048849372
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.09966308162581154,0.0763155858226624
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.09693066750152203,0.06709328971458856
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.06403879643047859,0.06618520124956706
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.1134150087423748,0.14589702112602873
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.10442049232581047,0.11575392488345457
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.09562495427386848,0.09068832181275813
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.12841424545863306,0.2237497453578608
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0906162013494965,0.07855677772820707
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.11313451365738902,0.1957430567385056
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.08345899717968693,0.06737853539748698
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.09394689486807492,0.14448846524190687
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.11085821963284916,0.13293232673890948
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.06722598620274468,0.1030154101472319
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.13591882030878913,0.21611671124783088
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.1260383982268608,0.20108340697482516
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.11182650092364775,0.1731666276052471
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.10186712990214114,0.15537714990545218
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.0801209373529368,0.059242028899862034
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.10685979219635845,0.05559832559753415
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.029379921452878283,0.007088624830965917
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.12828417776935752,0.1588635432630856
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.11316546702277065,0.1106830858848308
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.10345427876514736,0.09172917488015742
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.08597261516748929,0.06697119486279152
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.07343828455749586,0.09384264272243274
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.09689710580505285,0.09130418322400972
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.07119842679391444,0.04343265722785712
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.10122963518473019,0.038624189953771954
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.040294672522593375,0.08051162161872003
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.038829881413528396,0.04966501968166905
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.7323749724773513,0.6457773828693293
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.8750136599004738,0.8011857818510725
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.7324936426823739,0.6854609781012159
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.837038886146273,0.8233388868067478
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.6668237691505772,0.5808285269702519
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.6908839970521634,0.5822679698606238
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.6449948302154057,0.5442332895214615
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.8352960370005049,0.7230702376676275
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.7802016375646559,0.7097191779776235
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.7888773064321541,0.6920226452012769
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.7558539934622063,0.6660275292511036
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,0.8844389855620877
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.6908839970521634,0.5822679698606238
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.6668237691505772,0.5808285269702519
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.6412115943326275,0.5320419754637572
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.6199912593422999,0.5283667470240815
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.8735408375936649,0.7304421081852066
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.7600802311559418,0.6686518488484193
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.8071065507719781,0.7036599545892597
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7727894557262519,0.6812399778092223
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.11582262738519881,0.30511134259079736
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.17691280662630876,0.40481745313480844
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.5985023820031131,0.6653376237792685
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.7555079473481487,0.800414882444488
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.9003542138109033,0.5910017748501106
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.8555961932011006,0.5648875858120265
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.8053592669204349,0.5382557393671615
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.6629819268892145,0.8007851177777996
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.6534612149310529,0.785649562967713
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.7583392224793152,0.5156314379406968
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.6579635180982176,0.47946881951595427
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.6585458240193847,0.48635058987985613
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.7605212906850378,0.5216438980155796
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.9355037385938395,0.7291585529614969
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.8799710696137903,0.6891367546096476
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.7765606383350121,1.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.8311394772358607,0.6520617545870643
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.6959754149967281,0.8237926452379496
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.7850047929700656,0.6259139846291684
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.6525594932260076,0.7179338830508902
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.5754665761415667,0.6276419382601452
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.7386757692594554,0.5896499694150857
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.6049329602181424,0.5369051381207918
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.041425565082296056,0.21863139369380571
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.18639559937564015,0.40328909172985467
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.6740603081215205,0.7226562812313073
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.4035576642180798,0.5597284853389489
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.30993327543100113,0.379360359325285
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3860355762698629,0.5042812101149458
WITCH 5.0,EN_INDCi2030_500f,0.03863278221924883,0.041690068979349716
WITCH 5.0,EN_NPi2020_400f,0.019463986231343884,0.010898955493318865
WITCH 5.0,EN_NPi2020_450,0.0,0.0
WITCH 5.0,EN_NPi2020_450f,0.020570292568358326,0.016518801485313466
WITCH 5.0,EN_NPi2020_500,0.02083234459154473,0.007226149617715007
WITCH 5.0,EN_NPi2020_500f,0.024959789519841485,0.025643266678366226
