,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
0,SSP1_SPA1_19I_D,IMAGE 3.2,0.030358643272172414,0.0857181103559862,1,R10LATIN_AM
1,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.031126381101122536,0.08961708290685877,0,R10LATIN_AM
2,SSP1_SPA1_19I_LI,IMAGE 3.2,0.12544691665898278,0.15677595579211212,0,R10LATIN_AM
3,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.12482073809905458,0.15625557981701743,1,R10LATIN_AM
4,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.12501186615540788,0.15704162039090802,0,R10LATIN_AM
5,SSP1_SPA1_19I_RE,IMAGE 3.2,0.03417932811939922,0.08901332361444853,0,R10LATIN_AM
6,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.031105418717096434,0.09000506723308149,0,R10LATIN_AM
7,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.024301057988395547,0.09935005035362066,0,R10LATIN_AM
8,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.0839984560297179,0.07943889750997124,0,R10LATIN_AM
9,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.024429015404524024,0.09967803010784848,0,R10LATIN_AM
10,SSP2_SPA2_19I_D,IMAGE 3.2,0.0244024561883896,0.09769259715528372,1,R10LATIN_AM
11,SSP2_SPA2_19I_LI,IMAGE 3.2,0.08354857339911254,0.07882207964714782,0,R10LATIN_AM
12,SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.08341753621711417,0.07804421397862099,1,R10LATIN_AM
13,SSP2_SPA2_19I_RE,IMAGE 3.2,0.024905531017836713,0.09814483103156196,1,R10LATIN_AM
14,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,-0.02583463207482939,-0.11050656702497624,1,R10LATIN_AM
15,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,-0.031440591295479436,-0.11081633873710228,1,R10LATIN_AM
16,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,-0.01587437223224275,-0.10995864061801947,1,R10LATIN_AM
17,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,-0.017741161641853243,-0.10490642014952511,1,R10LATIN_AM
18,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,-0.01903095225705531,-0.10403710693160934,1,R10LATIN_AM
19,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,-0.019143964853306106,-0.11068555505859973,1,R10LATIN_AM
20,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,-0.008371822126387207,-0.10985529903709118,1,R10LATIN_AM
21,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,-0.008034722322109,-0.10489573932133972,1,R10LATIN_AM
22,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,-0.007936169362224632,-0.10389295081012723,1,R10LATIN_AM
23,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,-0.09020247300919082,-0.04445444002927312,1,R10LATIN_AM
24,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,-0.007936169362224632,-0.10410914028318125,1,R10LATIN_AM
25,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,-0.06846597514921637,-0.04466414418282083,1,R10LATIN_AM
26,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,-0.008228895258505953,-0.1041116199774163,1,R10LATIN_AM
27,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,-0.010171679484538898,-0.04634532218049059,1,R10LATIN_AM
28,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,-0.007924251259008863,-0.026823897287535314,1,R10LATIN_AM
29,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,-0.07612930826223346,-0.04904364991644816,1,R10LATIN_AM
30,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,-0.005936450387760583,-0.009533862024142581,1,R10LATIN_AM
31,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,-0.007338018339414498,-0.021292878932145765,1,R10LATIN_AM
32,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,-0.008922476637231724,-0.023992818975037133,1,R10LATIN_AM
33,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,-0.009830805467781367,-0.034593314381246965,1,R10LATIN_AM
34,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,-0.004220638451820136,-0.09437516011415914,1,R10LATIN_AM
35,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,-0.00021419677105827262,-0.09238595525225746,1,R10LATIN_AM
36,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,-0.007023591422465447,-0.109980727897036,1,R10LATIN_AM
37,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,-0.0009798435373774006,-0.0432437506782139,1,R10LATIN_AM
38,EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,-9.121347624224674e-05,-0.04639356742275075,1,R10LATIN_AM
39,EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,-0.00021419677105827262,-0.07639717407404889,1,R10LATIN_AM
40,EN_NPi2020_600f_DR4p,MESSAGEix-GLOBIOM_1.1,-0.001272264406588286,-0.07825817886308345,1,R10LATIN_AM
41,EN_NPi2020_700,MESSAGEix-GLOBIOM_1.1,-0.00679934340280397,-0.044783790763407716,1,R10LATIN_AM
42,EN_NPi2020_700_COV,MESSAGEix-GLOBIOM_1.1,-0.003124220585091042,-0.026435434945790093,1,R10LATIN_AM
43,EN_NPi2020_700f,MESSAGEix-GLOBIOM_1.1,-0.000625891285238489,-0.09281215270128418,1,R10LATIN_AM
44,EN_NPi2020_700f_COV,MESSAGEix-GLOBIOM_1.1,-0.0032537505301314384,-0.0777568762562349,1,R10LATIN_AM
45,NGFS2_Divergent Net Zero Policies,MESSAGEix-GLOBIOM_1.1,-0.06767517586708421,-0.055935425391406335,1,R10LATIN_AM
46,NGFS2_Net-Zero 2050,MESSAGEix-GLOBIOM_1.1,-0.01011560370773218,-0.03205593573659321,1,R10LATIN_AM
47,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,-0.009092465644711223,-0.009092465644711223,1,R10LATIN_AM
48,CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,-0.009092465644711223,-0.009092465644711223,1,R10LATIN_AM
