model,scenario,flexibility_score
AIM/CGE 2.2,EN_NPi2020_300f,36.665089705258715
IMAGE 3.2,SSP1_SPA1_19I_D_LB,36.774428337190336
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,36.368388057798875
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,35.91211449218626
IMAGE 3.2,SSP2_SPA2_19I_LI,38.68735097252513
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,33.847044641887805
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,33.91077524352873
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,32.13930812516223
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,34.14810182738497
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,32.05425174246845
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,32.24251239078359
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,32.43135136828809
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,33.86804089220256
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,33.67619854731568
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,34.86367166749433
WITCH 5.0,EN_NPi2020_400f,35.47468307375504
WITCH 5.0,EN_NPi2020_450f,35.547359400235976
WITCH 5.0,EN_NPi2020_500f,35.61547055127209
