,Nd,Dy,Cd,Te,Se,In
2016,17606.0,300.0,25744.0,408.0,3618.0,798.0
2017,20309.86,352.79999999999995,29270.199999999997,434.0799999999999,3754.1800000000003,799.98
2018,28778.158600000002,1078.628,36753.485,557.4207999999999,3780.7218000000003,813.9798000000001
2019,43622.601586000004,2617.68628,43635.259875,774.7342079999999,3886.1672180000005,878.0997980000002
2020,60152.30601586,4099.6768628,48131.77047812501,1005.98734208,3989.40167218,906.7209979800002
2021,82367.66306015861,5777.496768628,52379.859833671886,1274.3798734207999,4208.6140167218,1048.9872099798004
2022,107459.87663060159,7597.2749676862795,54484.47547089259,1547.1437987342078,4728.986140167217,1160.3898720997984
2023,139630.85876630602,9768.472749676863,56613.983207406214,1875.9514379873417,5552.369861401672,1361.4838987209982
2024,180089.99323546875,13249.009565833405,60288.954156573614,2280.6014695759463,6695.223236408767,1666.1527992468937
2025,230371.71504157395,18765.734651302708,65942.67425532638,2769.6307974470133,8172.3396806574565,2081.7167851019017
2026,290476.02418462164,26318.648006084775,73575.1435036645,3343.039421600544,9983.719194147741,2608.1758562860223
2027,360402.92066461185,35907.7496301796,83186.36190158798,4000.8273420365367,12129.361776879623,3245.530012799255
2028,440152.40448154457,47533.039523587184,94776.32944909684,4742.994558754993,14609.267428853102,3993.7792546416003
2029,529724.4756354197,61194.51768630754,108345.04614619105,5569.541071755912,17423.436150068177,4852.923581813057
2030,516356.9571169012,76892.18411834065,123892.51199287063,6480.466881039294,20571.867940524848,5822.962994313628
2031,503569.7845243086,94626.03881968652,141418.72698913558,7475.771986605138,24054.56280022311,6903.89749214331
2032,491362.9578576419,114396.08179034515,160923.69113498586,8555.456388453447,27871.520729162974,8095.727075302104
2033,479736.4771169012,136202.31303031652,182407.4044304215,9719.520086584218,32022.74172734443,9398.451743790012
2034,468690.34230208636,160044.7325396007,205869.86687544253,10967.963080997451,36508.22579476748,10812.071497607032
2035,458224.55341319746,185923.3403181976,231311.0784700489,12300.78537169315,41327.97293143213,12336.586336753164
2036,448339.1104502345,213838.13636610727,258731.03921424062,13717.986958671308,46481.98313733837,13971.996261228409
2037,439034.0134131975,243789.1206833297,288129.7491080177,15219.567841931932,51970.25641248621,15718.301271032768
2038,430309.26230208634,275776.29326986487,319507.2081513802,16805.528021475016,57792.79275687565,17575.501366166234
2039,422164.85711690114,309799.65412571287,352863.416344328,18475.867497300565,63949.59217050667,19543.596546628814
2040,414600.7978576419,345859.2032508736,388198.3736868612,20230.586269408577,62395.19217050668,21622.58681242051
2041,407617.08452430856,383954.9406453471,379402.50702019455,22069.68433779905,60960.05217050668,23812.47216354132
2042,401213.7171169012,424086.86630913336,371297.91442760197,23993.16170247199,59644.17217050668,26113.25259999124
2043,395390.6956354197,466254.9802422323,363884.59590908344,26001.01836342739,58447.55217050668,28524.928121770274
2044,390148.02007986413,466165.646908899,357162.551464639,28093.25432066525,57370.19217050668,31047.498728878418
2045,329142.1770225584,461196.20236235036,341714.8694400116,29644.47475189868,55206.03555136961,33341.01719859424
2046,261794.77289679064,455094.17508390255,326454.83967628866,31224.974976545192,52891.29176783758,35665.685351903194
2047,190114.6364534956,447952.5226574557,311435.07988850196,30429.254871851263,50478.89648110263,38034.154690230826
2048,117081.94119137264,440065.55906243087,296867.60702873336,29642.269108028213,48054.84025587072,40470.04300677415
2049,46648.20535688533,431928.95467377,283123.8372861147,28901.72642478363,45738.16856036165,43007.9343865016
2050,0.0,424239.7362619359,270734.5860868277,28253.6797366797,43680.98176630917,45693.379206153055
2051,0.0,414777.13237996725,256592.71338791415,27506.10253801919,41275.52548628686,48355.32121690621
2052,0.0,403337.52420093276,240500.34427441555,26650.556899173844,38488.37341337056,50982.67091022816
2053,0.0,389717.29289790115,222259.60383137342,25678.604890515417,35286.09924063612,53564.33877758598
2054,0.0,373712.8196439411,201672.61714382915,24581.80858241567,31635.27666115937,56089.23531044678
2055,0.0,355120.4856121214,178541.50929682428,23351.730045246353,27502.479368016153,58546.27100027762
2056,0.0,333736.67197551066,152668.4053754002,21979.93134937922,22854.28105428232,60924.356338545615
