model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score
AIM/CGE 2.2,EN_NPi2020_300f,0.125529751098739,0.9419221036950053,0.4595975290533832,0.4963949464720524,0.5686804153812473
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1167858541227738,0.17299362859714987,0.6385995764668269,0.05742346002782279,0.6986269064532363
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3237244464603815,0.1656880203810672,0.4008605588443284,0.06922821463429608,0.6282525799527143
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.2981799960514609,0.16935842608401164,0.8906444545230044,0.08234928699801278,0.6664205220636497
IMAGE 3.2,SSP2_SPA2_19I_LI,0.102344450051002,0.4752023188470039,0.0,0.42070029119682983,1.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.8338040504729738,1.0,0.6938150523425619,0.941256171774772,0.6896928049816752
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.775838562430199,0.9896319998765061,0.7562913969714591,0.9033536040652618,0.7500413085188936
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,0.5843573352336725,0.9430406827571,0.9940223647141588,0.5786416114336459
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.098271394217846,0.5583734393907996,0.743523913487571,0.252943384255476,0.6346489332312053
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.9342234650226956,0.6178149131264341,1.0,1.0,0.6413376016632372
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.8775884529474011,0.6256813975772019,0.9713234519267049,0.9700110761406289,0.6470793984821235
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.8277875362118218,0.6346815508690582,0.937433351601245,0.9436139248979408,0.6603274713998463
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.0223975239487059,0.47492256335780947,0.8272403156032105,0.5637836132424969,0.6141271885148919
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.170245264631026,0.42623273279195,0.9211073303586539,0.3048486009038337,0.6216976150938855
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3738481655861,0.8071068588201246,0.7460281550598523,0.7084451395715655,0.718197722108989
WITCH 5.0,EN_NPi2020_400f,0.0,0.0005837488058504983,0.25297777286286083,0.5318049687628776,0.34221841721920254
WITCH 5.0,EN_NPi2020_450f,0.0011282669085884,0.0003250296449332929,0.24946737833768026,0.5332417373903331,0.35452873852331185
WITCH 5.0,EN_NPi2020_500f,0.0056048969250753,0.0,0.24540539966139505,0.5352040667749655,0.3709475190644619
