model,scenario,final_energy_demand,energy_diversity,gini_coefficient,electricity_price,resilience_score
IMAGE 3.2,SSP1_SPA1_19I_D,0.11376240790140699,0.05997623475587576,0.0,0.22278953740915483,0.3965281800664376
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.03307721552386894,0.11142340101855708,0.0,0.29631446789635274,0.44081508443877876
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0,0.04732200942757776,0.0,0.2046916229454072,0.25201363237298496
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.14845752242912513,0.0,0.0,0.19054609064248637,0.33900361307161153
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.08338981296623128,0.0898037966580683,0.0,0.2681761856479904,0.44136979527229
IMAGE 3.2,SSP1_SPA1_19I_RE,0.12911632100734607,0.10281318528436383,0.0,0.24324980963555123,0.47517931592726115
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.047698691528112076,0.16373400358860782,0.0,0.34373963131596913,0.555172326432689
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2128856058065761,0.04559327594884465,1.0,0.2651547920252559,1.5236336737806766
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.0848675546053226,0.07438829085155209,1.0,0.26544147303635157,1.4246973184932261
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.21397830393556994,0.08609509203042469,1.0,0.2773318166149469,1.5774052125809415
IMAGE 3.2,SSP2_SPA2_19I_D,0.2745587563918896,0.04023548531513649,1.0,0.25865766900066584,1.5734519107076919
IMAGE 3.2,SSP2_SPA2_19I_LI,0.1401731953312744,0.005403646506608638,1.0,0.22917273768989305,1.3747495795277762
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.27230317140376725,0.036177445831729646,1.0,0.27526666081527784,1.5837472780507746
IMAGE 3.2,SSP2_SPA2_19I_RE,0.25299325071681494,0.04714271797820629,1.0,0.3061531746375559,1.606289143332577
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.4412942185081533,0.12283799584213236,1.0,0.784234091967032,2.3483663063173177
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.43782216792538814,0.13610872697757778,1.0,0.7897118179823247,2.3636427128852904
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.5348741882092569,0.11003869114774158,1.0,0.8088864992418913,2.4537993785988896
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.5083060212628481,0.10357102659301985,1.0,0.7743980863532268,2.386275134209095
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.5077658159650663,0.11470070870380936,1.0,0.7779138666366261,2.400380391305502
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.5366996844178645,0.11877039464646186,1.0,0.8012432753018036,2.45671335436613
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.48325511882824956,0.3255886994693997,1.0,0.8169968832227075,2.6258407015203566
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.520570461928834,0.27818691337128215,1.0,0.7991499368848096,2.597907312184926
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.5613277105855742,0.22566781415538004,1.0,0.7825641004911396,2.569559625232094
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.5399257209347496,0.1798600764057052,1.0,0.838806512988964,2.558592310329419
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.579410847921726,0.20471592419705562,1.0,0.7686631520782198,2.5527899241970013
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.5721332531271852,0.1970071723140889,1.0,0.8155161178202318,2.584656543261506
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.596322261002917,0.18619892518350506,1.0,0.7535893937558168,2.536110579942239
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.6136437948136527,0.1720733510728239,1.0,0.7923168762435256,2.5780340221300024
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.5704884313797421,0.15129280459054067,1.0,0.75747984912875,2.479261085099033
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.573168646952083,0.36829107513875525,1.0,0.9978182082087623,2.9392779302996006
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.6419365248952432,0.2120682654031647,1.0,0.6749480849597604,2.5289528752581685
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.634684830374742,0.19063760528599064,1.0,0.6967074059929027,2.5220298416536355
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.6268793119179877,0.1847209699090944,1.0,0.7236657224820607,2.535266004309143
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.6214508506747848,0.17095670804969923,1.0,0.7509897717091536,2.5433973304336375
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.6203601778467425,0.16726158036615313,1.0,0.7386817788855132,2.526303537098409
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.5761766731220801,0.13946442055784572,1.0,0.7146721542629615,2.4303132479428875
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.45775184211101577,0.41463131650976526,1.0,0.9618263972521002,2.8342095558728815
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.6675896727133522,0.20958166066763773,1.0,0.6587976785857129,2.535969011966703
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.6634509201405125,0.19561777607249103,1.0,0.6766464088627562,2.53571510507576
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.651903323487996,0.18769981162078642,1.0,0.6955117749699378,2.53511491007872
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.6362089432425889,0.17462718657882562,1.0,0.7131514868146752,2.5239876166360897
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.6449846315880516,0.13646356882773958,1.0,0.764301003526598,2.545749203942389
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.5994390189330028,0.11015129268960842,1.0,0.7294858984177557,2.439076210040367
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.6467082451862799,0.1343124005993063,1.0,0.7221834763599183,2.5032041221455046
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.599679062019293,0.11731519358154496,1.0,0.7075785880040922,2.4245728436049303
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.5024248884677546,0.1865470455790389,1.0,0.762571998559854,2.4515439326066475
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.5551825521604287,0.15372109141543372,1.0,0.7634433678693331,2.4723470114451955
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.9940741441181876,0.35840602097488977,1.0,0.7612118064759336,3.113691971569011
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.9069241996087489,0.5132762957727109,1.0,0.7563346364697722,3.176535131851232
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,1.0,0.41904026827648105,1.0,0.7628518815013459,3.181892149777827
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.9302406767507639,0.5795803261992031,1.0,0.7621649820282521,3.271985984978219
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.9625878933420956,0.3814353949716432,1.0,0.7618576596391505,3.1058809479528895
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.9598076316325016,0.32544063640006615,1.0,0.7698825951672998,3.0551308631998677
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.9081603233849757,0.3481179594777372,1.0,0.6588414037892175,2.91511968665193
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.8678947246217273,0.46655535049327873,1.0,0.7690128209751951,3.103462896090201
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.8817425581122457,0.5281200607544341,1.0,0.7699200707161603,3.17978268958284
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.8389007636757196,0.4740130530903959,1.0,0.7703341354103376,3.0832479521764533
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.8195888488147495,0.4667694218201306,1.0,0.7731706876829966,3.059528958317877
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.7098334650034348,0.959091063051939,1.0,0.875376353003664,3.544300881059038
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.9598076316325016,0.32544063640006615,1.0,0.7698825951672998,3.0551308631998677
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.9625878933420956,0.3814353949716432,1.0,0.7618576596391505,3.1058809479528895
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.9241155871518509,0.31815306073185917,1.0,0.7696616400812276,3.011930287964938
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.8973919771572377,0.3164905604557698,1.0,0.7694580774662729,2.98334061507928
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.8106401914048382,0.6254249901442308,1.0,0.807016303474178,3.2430814850232474
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.8465878357911953,0.6147072306907161,1.0,0.7896595634201836,3.250954629902095
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.7847181964330424,0.6146058006234577,1.0,0.7989776718424,3.1983016688989006
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7718692183235926,0.6040542432574373,1.0,0.7927339547782418,3.1686574163592716
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.1402160291783608,0.5298277202098727,0.0,0.7780311733953545,1.4480749227835878
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.09762256986534586,0.7778041391580207,0.0,0.8920961088487693,1.7675228178721358
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.6214382385707357,0.47531772240626496,1.0,0.8931149743521826,2.9898709353291832
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.47331422714093097,0.8946781095404901,1.0,1.0,3.367992336681421
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.7786208856048288,0.8511782648205347,1.0,0.16177897749929748,2.791578127924661
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.7611713004855456,0.8107110170752361,1.0,0.13918086167702293,2.7110631792378044
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.7356354345566446,0.7607583138435003,1.0,0.18434457329320073,2.6807383216933456
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.42677519549134596,0.5154395613554892,1.0,0.18345294303328213,2.1256676998801174
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.4282166765308856,0.5193044351530903,1.0,0.1645531394541474,2.1120742511381234
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.712259382722576,0.7132583861987483,1.0,0.17818205590646025,2.6036998248277845
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.5151774932395694,0.5539754898669905,1.0,0.10345989130625483,2.172612874412815
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.5139564229093938,0.5542507450510933,1.0,0.13774987651429021,2.2059570444747774
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.7115360695308345,0.7172010243201766,1.0,0.19345992264222517,2.6221970164932364
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.7499937309461989,0.9324430296521002,1.0,0.1705291390489506,2.85296589964725
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.7227136955885344,0.8798664852080256,1.0,0.22137253611379232,2.823952716910352
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.5636248931772553,0.7788533805227453,1.0,0.3386710675648703,2.681149341264871
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.7035368661135503,0.8284161470877759,1.0,0.17035459894848853,2.7023076121498146
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.5714107789385278,0.7451636148701929,1.0,0.22723722732965956,2.5438116211383806
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.6786291799449128,0.7777160999899814,1.0,0.20110042128794853,2.6574457012228425
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.5866834705513363,0.7156718997231961,1.0,0.23286066090942714,2.5352160311839596
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.4598404712413354,0.5780009018531316,1.0,0.042963835456667446,2.0808052085511344
