model,scenario,shannon_index,region
IMAGE 3.2,SSP1_SPA1_19I_D,1.478476193794347,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D_LB,1.4592320926145843,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LI,1.4848713652365544,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE,1.5290120701815884,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,1.4084967334818839,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE,1.4255356148386886,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1.3703145486822021,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_D_LB,1.5561228594325074,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,1.4312664767783403,R10LATIN_AM
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,1.4191070987176366,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_D,1.5469081798413222,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LI,1.5489893189790225,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_LIRE,1.4945563698273934,R10LATIN_AM
IMAGE 3.2,SSP2_SPA2_19I_RE,1.4421951025494946,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,1.0997877428461424,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,1.1354487592828248,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,1.154144855365034,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,1.122133181411383,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,1.1688001877409933,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,1.1530733510399342,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,1.0274849033921687,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,1.0532368984143496,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,1.092411744656618,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,1.1219315287261475,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,1.1099672585168843,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,1.1383636129920796,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,1.1182574251691064,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,1.2150843551112847,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,1.218212608074866,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,1.1815235730898042,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,1.1646640886456232,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,1.1603889436991202,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,1.1826193117421409,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,1.2032376663679436,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,1.1620492460317475,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,1.1727350686001907,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,1.159083984710804,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,1.2101768656381067,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,1.2090429473223507,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,1.1944952895794,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,1.1753934292653359,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,1.2395554907793471,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,1.2580075172112175,R10LATIN_AM
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,1.2044279890166447,R10LATIN_AM
